,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_FOUP01000001.1.region005,9.0,True,"(915.56, 1306.9)",P1<br>NZ_FOUP01000001.1.region005<br>['terpene']<br>geosmin<br>1.00,BGC,915.56,1306.9,0.50
NZ_FOUP01000001.1.region006,14.0,True,"(1057.3, 2509.2)",P1<br>NZ_FOUP01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,1057.3,2509.2,0.50
NZ_FOUP01000001.1.region007,15.0,True,"(711.9, 1212.6)",P1<br>NZ_FOUP01000001.1.region007<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,711.9,1212.6,0.50
NZ_FOUP01000028.1.region001,18.0,True,"(1642.1, 2487.4)",P1<br>NZ_FOUP01000028.1.region001<br>['terpene']<br>brasilicardin A<br>0.38,BGC,1642.1,2487.4,0.50
NZ_FOUP01000012.1.region001,2.0,True,"(2072.6, 769.47)",P1<br>NZ_FOUP01000012.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2072.6,769.47,0.50
NZ_FOUP01000013.1.region001,8.0,True,"(1804.6, 1800.1)","P1<br>NZ_FOUP01000013.1.region001<br>['lanthipeptide-class-iv', 'indole']<br>Sch-47554 / Sch-47555<br>0.07",BGC,1804.6,1800.1,0.50
NZ_FOUP01000013.1.region002,7.0,True,"(2101.6, 973.01)","P1<br>NZ_FOUP01000013.1.region002<br>['T1PKS', 'T2PKS']<br>xantholipin<br>0.08",BGC,2101.6,973.01,0.50
NZ_FOUP01000007.1.region001,17.0,True,"(1651.0, 1754.0)","P1<br>NZ_FOUP01000007.1.region001<br>['T1PKS', 'PKS-like', 'NRPS-like', 'NRPS']<br>echinomycin<br>0.33",BGC,1651.0,1754.0,0.50
NZ_FOUP01000007.1.region002,16.0,True,"(1570.2, 1574.4)","P1<br>NZ_FOUP01000007.1.region002<br>['RiPP-like', 'NRPS', 'T1PKS']<br>pactamides<br>0.33",BGC,1570.2,1574.4,0.50
BGC0001726,16.0,True,"(1566.7, 1657.9)",BGC0001726<br>NRP;Polyketide<br>pactamides,MIBIG (KnownClusterBlast),1566.7,1657.9,0.50
NZ_FOUP01000014.1.region001,19.0,True,"(586.43, 574.86)","P1<br>NZ_FOUP01000014.1.region001<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,586.43,574.86,0.50
NZ_FOUP01000011.1.region001,0.0,True,"(1784.9, 2778.0)",P1<br>NZ_FOUP01000011.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,1784.9,2778.0,0.50
NZ_FOUP01000018.1.region001,3.0,True,"(2457.9, 1889.5)",P1<br>NZ_FOUP01000018.1.region001<br>['lassopeptide']<br>SSV-2083<br>0.18,BGC,2457.9,1889.5,0.50
BGC0000579,3.0,True,"(2520.5, 1915.1)",BGC0000579<br>RiPP<br>SSV-2083,MIBIG (KnownClusterBlast),2520.5,1915.1,0.50
NZ_VIWX01000001.1.region001,8.0,True,"(1823.2, 1773.8)",P5<br>NZ_VIWX01000001.1.region001<br>['indole']<br>Sch-47554 / Sch-47555<br>0.05,BGC,1823.2,1773.8,0.50
NZ_VIWX01000001.1.region002,20.0,True,"(2565.6, 1657.4)",P5<br>NZ_VIWX01000001.1.region002<br>['terpene']<br>isorenieratene<br>0.71,BGC,2565.6,1657.4,0.50
BGC0000664,20.0,True,"(2500.4, 1582.2)",BGC0000664<br>Terpene<br>isorenieratene,MIBIG (KnownClusterBlast),2500.4,1582.2,0.50
NZ_VIWX01000001.1.region005,18.0,True,"(1603.1, 2464.3)",P5<br>NZ_VIWX01000001.1.region005<br>['terpene']<br>brasilicardin A<br>0.31,BGC,1603.1,2464.3,0.50
NZ_VIWX01000001.1.region006,14.0,True,"(965.21, 2511.9)",P5<br>NZ_VIWX01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,965.21,2511.9,0.50
NZ_VIWX01000001.1.region008,12.0,True,"(1041.0, 972.69)",P5<br>NZ_VIWX01000001.1.region008<br>['terpene']<br>SF2575<br>0.07,BGC,1041.0,972.69,0.50
BGC0000269,12.0,True,"(1052.3, 1064.3)",BGC0000269<br>Polyketide;Saccharide<br>SF2575,MIBIG (KnownClusterBlast),1052.3,1064.3,0.50
NZ_VIWX01000001.1.region009,21.0,True,"(812.9, 890.62)",P5<br>NZ_VIWX01000001.1.region009<br>['lassopeptide']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40,BGC,812.9,890.62,0.50
BGC0000519,21.0,True,"(735.07, 906.25)",BGC0000519<br>RiPP<br>labyrinthopeptin A2;labyrinthopeptin A1;labyrinthopeptin A3,MIBIG (KnownClusterBlast),735.07,906.25,0.50
NZ_VIWX01000002.1.region002,22.0,True,"(1528.1, 1462.3)",P5<br>NZ_VIWX01000002.1.region002<br>['T1PKS']<br>branched-chain fatty acids<br>1.25,BGC,1528.1,1462.3,0.50
BGC0001534,22.0,True,"(1583.8, 1433.9)",BGC0001534<br>Other<br>branched-chain fatty acids,MIBIG (BiG-SCAPE),1583.8,1433.9,0.50
NZ_VIWX01000002.1.region003,23.0,True,"(2687.7, 704.28)",P5<br>NZ_VIWX01000002.1.region003<br>['arylpolyene']<br>calicheamicin<br>0.03,BGC,2687.7,704.28,0.50
BGC0000033,23.0,True,"(2655.8, 634.4)",BGC0000033<br>Polyketide<br>calicheamicin,MIBIG (KnownClusterBlast),2655.8,634.4,0.50
NZ_VIWX01000002.1.region004,24.0,True,"(1639.8, 1484.6)","P5<br>NZ_VIWX01000002.1.region004<br>['T1PKS', 'T3PKS', 'NRPS', 'NRPS-like']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1639.8,1484.6,0.50
BGC0001807,24.0,True,"(1604.3, 1478.0)",BGC0001807<br>NRP;Polyketide<br>totopotensamide A;totopotensamide B,MIBIG (KnownClusterBlast),1604.3,1478.0,0.50
NZ_VIWX01000002.1.region005,25.0,True,"(1476.5, 1035.4)",P5<br>NZ_VIWX01000002.1.region005<br>['siderophore']<br>ficellomycin<br>0.07,BGC,1476.5,1035.4,0.50
BGC0001593,25.0,True,"(1524.0, 943.34)",BGC0001593<br>NRP<br>ficellomycin,MIBIG (KnownClusterBlast),1524.0,943.34,0.50
NZ_VIWX01000002.1.region006,12.0,True,"(2316.8, 2236.1)",P5<br>NZ_VIWX01000002.1.region006<br>['terpene']<br>kanamycin<br>0.01,BGC,2316.8,2236.1,0.50
BGC0000703,12.0,True,"(2261.5, 2295.1)",BGC0000703<br>Saccharide<br>kanamycin,MIBIG (KnownClusterBlast),2261.5,2295.1,0.50
NZ_VIWX01000002.1.region007,10.0,True,"(928.62, 1530.7)",P5<br>NZ_VIWX01000002.1.region007<br>['terpene']<br>hopene<br>0.38,BGC,928.62,1530.7,0.50
NZ_VIWX01000002.1.region008,9.0,True,"(916.89, 1325.6)",P5<br>NZ_VIWX01000002.1.region008<br>['terpene']<br>geosmin<br>1.00,BGC,916.89,1325.6,0.50
NZ_VIWX01000004.1.region001,26.0,True,"(1546.5, 1642.7)","P5<br>NZ_VIWX01000004.1.region001<br>['RiPP-like', 'T1PKS', 'NRPS-like']<br>nystatin<br>0.74",BGC,1546.5,1642.7,0.50
BGC0001709,26.0,True,"(1476.2, 1736.6)",BGC0001709<br>Polyketide<br>nystatin,MIBIG (BiG-SCAPE),1476.2,1736.6,0.50
NZ_VIWX01000005.1.region001,1.0,True,"(1503.8, 1257.1)",P5<br>NZ_VIWX01000005.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1503.8,1257.1,0.50
BGC0002014,1.0,True,"(1536.0, 1243.9)",BGC0002014<br>NRP;Polyketide<br>pepticinnamin E,MIBIG (KnownClusterBlast),1536.0,1243.9,0.50
NZ_VIWX01000006.1.region001,27.0,True,"(2469.1, 2064.3)","P5<br>NZ_VIWX01000006.1.region001<br>['NRPS', 'T1PKS']<br>antimycin<br>0.94",BGC,2469.1,2064.3,0.50
BGC0001455,27.0,True,"(2535.4, 2020.7)",BGC0001455<br>NRP;Polyketide<br>antimycin,MIBIG (BiG-SCAPE),2535.4,2020.7,0.50
NZ_VIWX01000007.1.region001,2.0,True,"(2148.9, 711.56)",P5<br>NZ_VIWX01000007.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2148.9,711.56,0.50
NZ_JAGPXE010000001.1.region001,27.0,True,"(2512.7, 2087.3)","P5<br>NZ_JAGPXE010000001.1.region001<br>['T1PKS', 'NRPS']<br>antimycin<br>0.88",BGC,2512.7,2087.3,0.50
NZ_JAGPXE010000011.1.region003,24.0,True,"(1628.5, 1455.9)","P5<br>NZ_JAGPXE010000011.1.region003<br>['NRPS-like', 'NRPS', 'T3PKS', 'T1PKS']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1628.5,1455.9,0.50
NZ_JAGPXE010000015.1.region001,14.0,True,"(1003.9, 2529.2)",P5<br>NZ_JAGPXE010000015.1.region001<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,1003.9,2529.2,0.50
NZ_JAGPXE010000016.1.region001,2.0,True,"(2151.6, 727.94)",P5<br>NZ_JAGPXE010000016.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2151.6,727.94,0.50
NZ_JAGPXE010000017.1.region001,8.0,True,"(1847.1, 1750.8)",P5<br>NZ_JAGPXE010000017.1.region001<br>['indole']<br>fortimicin<br>0.09,BGC,1847.1,1750.8,0.50
BGC0000695,8.0,True,"(1940.5, 1774.2)",BGC0000695<br>Saccharide<br>fortimicin,MIBIG (KnownClusterBlast),1940.5,1774.2,0.50
NZ_JAGPXE010000018.1.region001,20.0,True,"(2528.8, 1643.4)",P5<br>NZ_JAGPXE010000018.1.region001<br>['terpene']<br>isorenieratene<br>0.57,BGC,2528.8,1643.4,0.50
NZ_JAGPXE010000019.1.region001,18.0,True,"(1658.4, 2409.7)",P5<br>NZ_JAGPXE010000019.1.region001<br>['terpene']<br>atolypene A / atolypene B<br>0.18,BGC,1658.4,2409.7,0.50
BGC0002007,18.0,True,"(1719.5, 2358.0)",BGC0002007<br>Terpene<br>atolypene A;atolypene B,MIBIG (KnownClusterBlast),1719.5,2358.0,0.50
NZ_JAGPXE010000002.1.region001,28.0,True,"(2091.1, 509.75)",P5<br>NZ_JAGPXE010000002.1.region001<br>['siderophore']<br>staphylobactin<br>0.25,BGC,2091.1,509.75,0.50
BGC0000943,28.0,True,"(2012.2, 453.0)",BGC0000943<br>Other<br>staphyloferrin B,MIBIG (KnownClusterBlast),2012.2,453.0,0.50
NZ_JAGPXE010000002.1.region002,29.0,True,"(1408.9, 1590.9)",P5<br>NZ_JAGPXE010000002.1.region002<br>['lanthipeptide-class-iii']<br>fusaricidin B<br>0.25,BGC,1408.9,1590.9,0.50
BGC0001152,29.0,True,"(1387.6, 1606.2)",BGC0001152<br>NRP;Polyketide<br>fusaricidin B,MIBIG (KnownClusterBlast),1387.6,1606.2,0.50
NZ_JAGPXE010000002.1.region003,30.0,True,"(406.37, 638.43)",P5<br>NZ_JAGPXE010000002.1.region003<br>['betalactone']<br>macrotetrolide<br>0.33,BGC,406.37,638.43,0.50
BGC0000244,30.0,True,"(346.8, 598.0)",BGC0000244<br>Polyketide<br>nonactin;monactin;dinactin;trinactin;tetranactin,MIBIG (KnownClusterBlast),346.8,598.0,0.50
NZ_JAGPXE010000003.1.region003,10.0,True,"(947.77, 1500.2)",P5<br>NZ_JAGPXE010000003.1.region003<br>['terpene']<br>hopene<br>0.38,BGC,947.77,1500.2,0.50
NZ_JAGPXE010000003.1.region004,9.0,True,"(878.75, 1350.2)",P5<br>NZ_JAGPXE010000003.1.region004<br>['terpene']<br>geosmin<br>1.00,BGC,878.75,1350.2,0.50
NZ_JAGPXE010000004.1.region001,8.0,True,"(1945.7, 2006.2)",P5<br>NZ_JAGPXE010000004.1.region001<br>['arylpolyene']<br>saquayamycin A<br>0.05,BGC,1945.7,2006.2,0.50
BGC0001769,8.0,True,"(1894.9, 1920.4)",BGC0001769<br>Polyketide<br>saquayamycin A,MIBIG (BiG-SCAPE),1894.9,1920.4,0.50
NZ_JAGPXE010000004.1.region003,31.0,True,"(319.37, 2465.4)",P5<br>NZ_JAGPXE010000004.1.region003<br>['lanthipeptide-class-iv']<br>venezuelin<br>0.50,BGC,319.37,2465.4,0.50
BGC0000563,31.0,True,"(259.8, 2425.0)",BGC0000563<br>RiPP<br>venezuelin,MIBIG (KnownClusterBlast),259.8,2425.0,0.50
NZ_JAGPXE010000008.1.region001,1.0,True,"(1503.1, 1294.8)",P5<br>NZ_JAGPXE010000008.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1503.1,1294.8,0.50
NZ_JAGPXE010000009.1.region002,12.0,True,"(1119.0, 988.77)",P5<br>NZ_JAGPXE010000009.1.region002<br>['terpene']<br>SF2575<br>0.07,BGC,1119.0,988.77,0.50
NZ_CP069353.1.region001,32.0,True,"(1467.3, 1382.8)","P8<br>NZ_CP069353.1.region001<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07",BGC,1467.3,1382.8,0.50
BGC0001213,32.0,True,"(1385.1, 1436.3)",BGC0001213<br>Polyketide<br>nataxazole,MIBIG (KnownClusterBlast),1385.1,1436.3,0.50
NZ_CP069353.1.region002,2.0,True,"(2071.7, 722.03)",P8<br>NZ_CP069353.1.region002<br>['ectoine']<br>ectoine<br>1.00,BGC,2071.7,722.03,0.50
NZ_CP069353.1.region004,33.0,True,"(1232.4, 601.68)",P8<br>NZ_CP069353.1.region004<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>1.00,BGC,1232.4,601.68,0.50
BGC0000055,33.0,True,"(1155.6, 535.97)",BGC0000055<br>Polyketide;Saccharide<br>erythromycin A;erythromycin B;erythromycin C;erythromycin D,MIBIG (BiG-SCAPE),1155.6,535.97,0.50
NZ_CP069353.1.region005,34.0,True,"(1971.9, 1564.6)","P8<br>NZ_CP069353.1.region005<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89",BGC,1971.9,1564.6,0.50
BGC0000285,34.0,True,"(2057.1, 1529.9)","BGC0000285<br>Polyketide;Saccharide<br>flaviolin;flaviolin rhamnoside;3,3'-diflaviolin",MIBIG (BiG-SCAPE),2057.1,1529.9,0.50
NZ_CP069353.1.region006,1.0,True,"(1442.2, 1163.3)",P8<br>NZ_CP069353.1.region006<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12,BGC,1442.2,1163.3,0.50
BGC0001214,1.0,True,"(1535.9, 1146.9)",BGC0001214<br>NRP<br>marformycin A;marformycin B;marformycin C;marformycin D;marformycin E;marformycin F,MIBIG (KnownClusterBlast),1535.9,1146.9,0.50
NZ_CP069353.1.region007,8.0,True,"(2009.5, 1823.2)",P8<br>NZ_CP069353.1.region007<br>['indole']<br>fortimicin<br>0.07,BGC,2009.5,1823.2,0.50
NZ_CP069353.1.region008,12.0,True,"(1107.1, 1108.6)",P8<br>NZ_CP069353.1.region008<br>['terpene']<br>SF2575<br>0.04,BGC,1107.1,1108.6,0.50
NZ_CP069353.1.region009,35.0,True,"(2453.5, 2737.1)",P8<br>NZ_CP069353.1.region009<br>['T1PKS']<br>FR-900520<br>0.18,BGC,2453.5,2737.1,0.50
BGC0000994,35.0,True,"(2395.0, 2686.0)",BGC0000994<br>NRP;Polyketide<br>FR-900520,MIBIG (KnownClusterBlast),2395.0,2686.0,0.50
NZ_CP069353.1.region011,36.0,True,"(606.94, 2704.9)",P8<br>NZ_CP069353.1.region011<br>['T1PKS']<br>esmeraldin<br>0.08,BGC,606.94,2704.9,0.50
BGC0000935,36.0,True,"(621.41, 2633.9)",BGC0000935<br>Other;Polyketide<br>esmeraldin,MIBIG (KnownClusterBlast),621.41,2633.9,0.50
NZ_CP069353.1.region012,37.0,True,"(551.23, 1742.1)","P8<br>NZ_CP069353.1.region012<br>['NRPS', 'T1PKS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12",BGC,551.23,1742.1,0.50
BGC0001349,37.0,True,"(468.24, 1760.0)",BGC0001349<br>NRP;Polyketide<br>heronamide A;heronamide B;heronamide C;heronamide D;heronamide E;heronamide F,MIBIG (KnownClusterBlast),468.24,1760.0,0.50
NZ_CP069353.1.region013,38.0,True,"(2917.5, 1722.1)",P8<br>NZ_CP069353.1.region013<br>['NRPS']<br>amychelin<br>0.44,BGC,2917.5,1722.1,0.50
BGC0000300,38.0,True,"(2859.0, 1671.0)",BGC0000300<br>NRP<br>amychelin,MIBIG (KnownClusterBlast),2859.0,1671.0,0.50
NZ_CP069353.1.region014,39.0,True,"(846.51, 1623.7)","P8<br>NZ_CP069353.1.region014<br>['T1PKS', 'NRPS-like']<br>microansamycin<br>0.46",BGC,846.51,1623.7,0.50
BGC0001666,39.0,True,"(898.78, 1545.5)",BGC0001666<br>Polyketide<br>microansamycin,MIBIG (KnownClusterBlast),898.78,1545.5,0.50
NZ_CP069353.1.region016,40.0,True,"(1743.5, 1500.4)","P8<br>NZ_CP069353.1.region016<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00",BGC,1743.5,1500.4,0.50
BGC0000349,40.0,True,"(1808.4, 1475.7)",BGC0000349<br>NRP<br>erythrochelin,MIBIG (KnownClusterBlast),1808.4,1475.7,0.50
NZ_CP069353.1.region017,9.0,True,"(741.13, 1329.6)",P8<br>NZ_CP069353.1.region017<br>['terpene']<br>geosmin<br>1.00,BGC,741.13,1329.6,0.50
NZ_CP069353.1.region018,1.0,True,"(1215.2, 1170.3)",P8<br>NZ_CP069353.1.region018<br>['NAPAA']<br>actinomycin D<br>0.07,BGC,1215.2,1170.3,0.50
BGC0000296,1.0,True,"(1292.4, 1168.4)",BGC0000296<br>NRP<br>actinomycin D,MIBIG (KnownClusterBlast),1292.4,1168.4,0.50
NZ_CP069353.1.region019,20.0,True,"(2535.6, 1518.2)",P8<br>NZ_CP069353.1.region019<br>['terpene']<br>isorenieratene<br>0.57,BGC,2535.6,1518.2,0.50
NZ_CP069353.1.region020,12.0,True,"(2471.3, 2222.3)",P8<br>NZ_CP069353.1.region020<br>['terpene']<br>neoantimycin<br>0.20,BGC,2471.3,2222.3,0.50
NZ_CP069353.1.region021,15.0,True,"(803.36, 1083.6)",P8<br>NZ_CP069353.1.region021<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,803.36,1083.6,0.50
