,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region009,"(2610.2, 760.24)",P1<br>NZ_RBXX01000002.1.region009<br>['amglyccycl']<br>cetoniacytone A<br>0.45<br>GCF_44,BGC < 80% similarity,2610.2,760.24,0.30
BGC0000283,"(2692.8, 725.28)","BGC0000283<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>c<br>e<br>t<br>o<br>n<br>i<br>a<br>c<br>y<br>t<br>o<br>n<br>e<br> <br>A<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2692.8,725.28,0.30
NZ_RBXX01000002.1.region010,"(3075.2, 761.23)",P1<br>NZ_RBXX01000002.1.region010<br>['terpene']<br>tetronomycin<br>0.06<br>GCF_120,BGC < 40% similarity,3075.2,761.23,0.30
BGC0000164,"(3167.1, 760.83)","BGC0000164<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>t<br>e<br>t<br>r<br>o<br>n<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),3167.1,760.83,0.30
NZ_RBXX01000002.1.region011,"(1784.1, 681.78)","P1<br>NZ_RBXX01000002.1.region011<br>['T2PKS', 'T1PKS']<br>xantholipin<br>0.08<br>GCF_117",BGC < 40% similarity,1784.1,681.78,0.30
BGC0000279,"(1842.2, 636.07)","BGC0000279<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>x<br>a<br>n<br>t<br>h<br>o<br>l<br>i<br>p<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1842.2,636.07,0.30
NZ_RBXX01000002.1.region012,"(1231.3, 1757.9)","P1<br>NZ_RBXX01000002.1.region012<br>['indole', 'lanthipeptide-class-iv']<br>Sch-47554 / Sch-47555<br>0.07<br>GCF_18",BGC < 40% similarity,1231.3,1757.9,0.30
BGC0000268,"(1207.0, 1788.7)","BGC0000268<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>S<br>c<br>h<br>-<br>4<br>7<br>5<br>5<br>4<br>;<br>S<br>c<br>h<br>-<br>4<br>7<br>5<br>5<br>5<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1207.0,1788.7,0.30
NZ_RBXX01000002.1.region013,"(1490.2, 1825.6)",P1<br>NZ_RBXX01000002.1.region013<br>['terpene']<br>geosmin<br>1.00<br>GCF_30,BGC >= 80% similarity,1490.2,1825.6,0.30
BGC0001181,"(1407.8, 1750.8)","BGC0001181<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>g<br>e<br>o<br>s<br>m<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1407.8,1750.8,0.30
NZ_RBXX01000002.1.region014,"(1345.5, 2017.0)",P1<br>NZ_RBXX01000002.1.region014<br>['terpene']<br>hopene<br>0.46<br>GCF_6,BGC < 80% similarity,1345.5,2017.0,0.30
BGC0000663,"(1373.8, 1930.9)","BGC0000663<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>h<br>o<br>p<br>e<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1373.8,1930.9,0.30
NZ_RBXX01000002.1.region015,"(533.19, 1075.3)",P1<br>NZ_RBXX01000002.1.region015<br>['CDPS']<br>meridamycin<br>0.05<br>GCF_39,BGC < 40% similarity,533.19,1075.3,0.30
BGC0001011,"(617.23, 1067.6)","BGC0001011<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>m<br>e<br>r<br>i<br>d<br>a<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),617.23,1067.6,0.30
NZ_RBXX01000002.1.region016,"(2603.4, 1024.0)",P1<br>NZ_RBXX01000002.1.region016<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_4,BGC < 40% similarity,2603.4,1024.0,0.30
BGC0001919,"(2555.8, 959.1)","BGC0001919<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>n<br>e<br>o<br>a<br>n<br>t<br>i<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2555.8,959.1,0.30
NZ_RBXX01000002.1.region017,"(1526.5, 2420.3)","P1<br>NZ_RBXX01000002.1.region017<br>['CDPS', 'T3PKS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57<br>GCF_101",BGC < 80% similarity,1526.5,2420.3,0.30
BGC0001077,"(1587.2, 2468.8)","BGC0001077<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>a<br>l<br>k<br>y<br>l<br>-<br>O<br>-<br>d<br>i<br>h<br>y<br>d<br>r<br>o<br>g<br>e<br>r<br>a<br>n<br>y<br>l<br>-<br>m<br>e<br>t<br>h<br>o<br>x<br>y<br>h<br>y<br>d<br>r<br>o<br>q<br>u<br>i<br>n<br>o<br>n<br>e<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1587.2,2468.8,0.30
NZ_RBXX01000002.1.region018,"(2919.8, 1897.0)",P1<br>NZ_RBXX01000002.1.region018<br>['redox-cofactor']<br>lankacidin C<br>0.13<br>GCF_5,BGC < 40% similarity,2919.8,1897.0,0.30
BGC0001100,"(2872.8, 1821.3)","BGC0001100<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>l<br>a<br>n<br>k<br>a<br>c<br>i<br>d<br>i<br>n<br> <br>C<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2872.8,1821.3,0.30
NZ_RBXX01000002.1.region019,"(1461.9, 2127.7)",P1<br>NZ_RBXX01000002.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_64,BGC >= 80% similarity,1461.9,2127.7,0.30
BGC0000659,"(1539.1, 2067.8)","BGC0000659<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>2<br>-<br>m<br>e<br>t<br>h<br>y<br>l<br>i<br>s<br>o<br>b<br>o<br>r<br>n<br>e<br>o<br>l<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1539.1,2067.8,0.30
NZ_RBXX01000002.1.region020,"(1813.7, 1795.0)","P1<br>NZ_RBXX01000002.1.region020<br>['T1PKS', 'NRPS', 'RiPP-like']<br>heat-stable antifungal factor<br>0.38<br>GCF_35",BGC < 40% similarity,1813.7,1795.0,0.30
BGC0000999,"(1831.2, 1908.3)","BGC0000999<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>h<br>e<br>a<br>t<br>-<br>s<br>t<br>a<br>b<br>l<br>e<br> <br>a<br>n<br>t<br>i<br>f<br>u<br>n<br>g<br>a<br>l<br> <br>f<br>a<br>c<br>t<br>o<br>r<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1831.2,1908.3,0.30
NZ_RBXX01000002.1.region021,"(1984.3, 1941.9)","P1<br>NZ_RBXX01000002.1.region021<br>['NRPS', 'NRPS-like', 'PKS-like', 'T1PKS']<br>echinomycin<br>0.33<br>GCF_51",BGC < 40% similarity,1984.3,1941.9,0.30
BGC0000339,"(2071.1, 1988.5)","BGC0000339<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>e<br>c<br>h<br>i<br>n<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2071.1,1988.5,0.30
NZ_RBXX01000002.1.region022,"(2494.3, 2129.2)",P1<br>NZ_RBXX01000002.1.region022<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_33,BGC < 40% similarity,2494.3,2129.2,0.30
BGC0000632,"(2555.7, 2208.4)","BGC0000632<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>b<br>r<br>a<br>s<br>i<br>l<br>i<br>c<br>a<br>r<br>d<br>i<br>n<br> <br>A<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2555.7,2208.4,0.30
NZ_RBXX01000002.1.region023,"(542.35, 395.08)","P1<br>NZ_RBXX01000002.1.region023<br>['LAP', 'NRPS']<br>guadinomine<br>0.08<br>GCF_41",BGC < 40% similarity,542.35,395.08,0.30
BGC0000998,"(618.68, 433.69)","BGC0000998<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>n<br>e<br>;<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>n<br>e<br> <br>B<br>;<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>c<br> <br>a<br>c<br>i<br>d<br>'<br>]<br>)",MIBIG (KnownClusterBlast),618.68,433.69,0.30
NZ_FOUP01000033.1.region001,"(3115.7, 731.0)",P1<br>NZ_FOUP01000033.1.region001<br>['terpene']<br>tetronomycin<br>0.06<br>GCF_120,BGC < 40% similarity,3115.7,731.0,0.30
NZ_FOUP01000003.1.region001,"(1736.5, 1338.8)",P1<br>NZ_FOUP01000003.1.region001<br>['NRPS']<br>RP-1776<br>0.04<br>GCF_3,BGC < 40% similarity,1736.5,1338.8,0.30
NZ_FOUP01000002.1.region001,"(2639.9, 739.57)",P1<br>NZ_FOUP01000002.1.region001<br>['amglyccycl']<br>cetoniacytone A<br>0.45<br>GCF_44,BGC < 80% similarity,2639.9,739.57,0.30
NZ_FOUP01000002.1.region002,"(1804.6, 1722.8)",P1<br>NZ_FOUP01000002.1.region002<br>['T1PKS']<br>maduropeptin<br>0.28<br>GCF_116,BGC < 40% similarity,1804.6,1722.8,0.30
NZ_FOUP01000001.1.region001,"(1577.0, 2397.2)","P1<br>NZ_FOUP01000001.1.region001<br>['T3PKS', 'CDPS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57<br>GCF_101",BGC < 80% similarity,1577.0,2397.2,0.30
NZ_FOUP01000001.1.region002,"(2663.3, 989.81)",P1<br>NZ_FOUP01000001.1.region002<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_4,BGC < 40% similarity,2663.3,989.81,0.30
NZ_FOUP01000001.1.region003,"(572.32, 1041.0)",P1<br>NZ_FOUP01000001.1.region003<br>['CDPS']<br>meridamycin<br>0.05<br>GCF_39,BGC < 40% similarity,572.32,1041.0,0.30
NZ_FOUP01000001.1.region004,"(1342.1, 1991.6)",P1<br>NZ_FOUP01000001.1.region004<br>['terpene']<br>hopene<br>0.46<br>GCF_6,BGC < 80% similarity,1342.1,1991.6,0.30
NZ_FOUP01000001.1.region005,"(1466.9, 1774.1)",P1<br>NZ_FOUP01000001.1.region005<br>['terpene']<br>geosmin<br>1.00<br>GCF_30,BGC >= 80% similarity,1466.9,1774.1,0.30
NZ_FOUP01000001.1.region006,"(2916.9, 1857.1)",P1<br>NZ_FOUP01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.13<br>GCF_5,BGC < 40% similarity,2916.9,1857.1,0.30
NZ_FOUP01000001.1.region007,"(1498.2, 2118.4)",P1<br>NZ_FOUP01000001.1.region007<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_64,BGC >= 80% similarity,1498.2,2118.4,0.30
NZ_FOUP01000028.1.region001,"(2477.7, 2208.3)",P1<br>NZ_FOUP01000028.1.region001<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_33,BGC < 40% similarity,2477.7,2208.3,0.30
NZ_FOUP01000012.1.region001,"(2135.1, 782.79)",P1<br>NZ_FOUP01000012.1.region001<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2135.1,782.79,0.30
NZ_FOUP01000013.1.region001,"(1250.0, 1781.5)","P1<br>NZ_FOUP01000013.1.region001<br>['lanthipeptide-class-iv', 'indole']<br>Sch-47554 / Sch-47555<br>0.07<br>GCF_18",BGC < 40% similarity,1250.0,1781.5,0.30
NZ_FOUP01000013.1.region002,"(1744.1, 663.32)","P1<br>NZ_FOUP01000013.1.region002<br>['T1PKS', 'T2PKS']<br>xantholipin<br>0.08<br>GCF_117",BGC < 40% similarity,1744.1,663.32,0.30
NZ_FOUP01000007.1.region001,"(2009.1, 1937.7)","P1<br>NZ_FOUP01000007.1.region001<br>['T1PKS', 'PKS-like', 'NRPS-like', 'NRPS']<br>echinomycin<br>0.33<br>GCF_51",BGC < 40% similarity,2009.1,1937.7,0.30
NZ_FOUP01000007.1.region002,"(1809.0, 1770.6)","P1<br>NZ_FOUP01000007.1.region002<br>['RiPP-like', 'NRPS', 'T1PKS']<br>pactamides<br>0.33<br>GCF_35",BGC < 40% similarity,1809.0,1770.6,0.30
BGC0001726,"(1907.8, 1848.5)","BGC0001726<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>p<br>a<br>c<br>t<br>a<br>m<br>i<br>d<br>e<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1907.8,1848.5,0.30
NZ_FOUP01000014.1.region001,"(592.85, 390.0)","P1<br>NZ_FOUP01000014.1.region001<br>['LAP', 'NRPS']<br>guadinomine<br>0.08<br>GCF_41",BGC < 40% similarity,592.85,390.0,0.30
NZ_FOUP01000011.1.region001,"(2215.3, 1041.0)",P1<br>NZ_FOUP01000011.1.region001<br>['NRPS']<br>azicemicin B<br>0.18<br>GCF_52,BGC < 40% similarity,2215.3,1041.0,0.30
NZ_FOUP01000018.1.region001,"(674.04, 613.15)",P1<br>NZ_FOUP01000018.1.region001<br>['lassopeptide']<br>SSV-2083<br>0.18<br>GCF_48,BGC < 40% similarity,674.04,613.15,0.30
BGC0000579,"(730.05, 576.0)","BGC0000579<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>R<br>i<br>P<br>P<br>'<br>,<br> <br>'<br>S<br>S<br>V<br>-<br>2<br>0<br>8<br>3<br>'<br>]<br>)",MIBIG (KnownClusterBlast),730.05,576.0,0.30
NZ_VIWX01000001.1.region001,"(1126.6, 1781.3)",P5<br>NZ_VIWX01000001.1.region001<br>['indole']<br>Sch-47554 / Sch-47555<br>0.05<br>GCF_155,BGC < 40% similarity,1126.6,1781.3,0.30
NZ_VIWX01000001.1.region002,"(2657.9, 1322.0)",P5<br>NZ_VIWX01000001.1.region002<br>['terpene']<br>isorenieratene<br>0.71<br>GCF_121,BGC < 80% similarity,2657.9,1322.0,0.30
BGC0000664,"(2593.2, 1240.9)","BGC0000664<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>i<br>s<br>o<br>r<br>e<br>n<br>i<br>e<br>r<br>a<br>t<br>e<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2593.2,1240.9,0.30
NZ_VIWX01000001.1.region005,"(2489.9, 2266.1)",P5<br>NZ_VIWX01000001.1.region005<br>['terpene']<br>brasilicardin A<br>0.31<br>GCF_33,BGC < 40% similarity,2489.9,2266.1,0.30
NZ_VIWX01000001.1.region006,"(2768.3, 1800.4)",P5<br>NZ_VIWX01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.20<br>GCF_36,BGC < 40% similarity,2768.3,1800.4,0.30
NZ_VIWX01000001.1.region008,"(1251.7, 1358.8)",P5<br>NZ_VIWX01000001.1.region008<br>['terpene']<br>SF2575<br>0.07<br>GCF_2,BGC < 40% similarity,1251.7,1358.8,0.30
BGC0000269,"(1280.2, 1459.4)","BGC0000269<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>S<br>F<br>2<br>5<br>7<br>5<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1280.2,1459.4,0.30
NZ_VIWX01000001.1.region009,"(2702.5, 2774.6)",P5<br>NZ_VIWX01000001.1.region009<br>['lassopeptide']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40<br>GCF_225,BGC < 80% similarity,2702.5,2774.6,0.30
BGC0000519,"(2711.6, 2848.8)","BGC0000519<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>R<br>i<br>P<br>P<br>'<br>,<br> <br>'<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>2<br>;<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>1<br>;<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>3<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2711.6,2848.8,0.30
NZ_VIWX01000002.1.region002,"(1824.9, 1653.8)",P5<br>NZ_VIWX01000002.1.region002<br>['T1PKS']<br>branched-chain fatty acids<br>1.25<br>GCF_266,BGC >= 80% similarity,1824.9,1653.8,0.30
BGC0001534,"(1902.8, 1632.0)","BGC0001534<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>b<br>r<br>a<br>n<br>c<br>h<br>e<br>d<br>-<br>c<br>h<br>a<br>i<br>n<br> <br>f<br>a<br>t<br>t<br>y<br> <br>a<br>c<br>i<br>d<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1902.8,1632.0,0.30
NZ_VIWX01000002.1.region003,"(2914.9, 2353.4)",P5<br>NZ_VIWX01000002.1.region003<br>['arylpolyene']<br>calicheamicin<br>0.03<br>GCF_174,BGC < 40% similarity,2914.9,2353.4,0.30
BGC0000033,"(2930.5, 2428.6)","BGC0000033<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>c<br>a<br>l<br>i<br>c<br>h<br>e<br>a<br>m<br>i<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2930.5,2428.6,0.30
NZ_VIWX01000002.1.region004,"(1937.3, 1675.5)","P5<br>NZ_VIWX01000002.1.region004<br>['T1PKS', 'T3PKS', 'NRPS', 'NRPS-like']<br>totopotensamide A / totopotensamide B<br>0.56<br>GCF_84",BGC < 80% similarity,1937.3,1675.5,0.30
BGC0001807,"(1898.1, 1659.8)","BGC0001807<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>t<br>o<br>t<br>o<br>p<br>o<br>t<br>e<br>n<br>s<br>a<br>m<br>i<br>d<br>e<br> <br>A<br>;<br>t<br>o<br>t<br>o<br>p<br>o<br>t<br>e<br>n<br>s<br>a<br>m<br>i<br>d<br>e<br> <br>B<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1898.1,1659.8,0.30
NZ_VIWX01000002.1.region005,"(1714.0, 1160.4)",P5<br>NZ_VIWX01000002.1.region005<br>['siderophore']<br>ficellomycin<br>0.07<br>GCF_169,BGC < 40% similarity,1714.0,1160.4,0.30
BGC0001593,"(1745.0, 1068.5)","BGC0001593<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>f<br>i<br>c<br>e<br>l<br>l<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1745.0,1068.5,0.30
NZ_VIWX01000002.1.region006,"(1210.8, 1111.4)",P5<br>NZ_VIWX01000002.1.region006<br>['terpene']<br>kanamycin<br>0.01<br>GCF_68,BGC < 40% similarity,1210.8,1111.4,0.30
BGC0000703,"(1265.1, 1178.3)","BGC0000703<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>k<br>a<br>n<br>a<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1265.1,1178.3,0.30
NZ_VIWX01000002.1.region007,"(1281.4, 1966.1)",P5<br>NZ_VIWX01000002.1.region007<br>['terpene']<br>hopene<br>0.38<br>GCF_67,BGC < 40% similarity,1281.4,1966.1,0.30
NZ_VIWX01000002.1.region008,"(1479.2, 1835.3)",P5<br>NZ_VIWX01000002.1.region008<br>['terpene']<br>geosmin<br>1.00<br>GCF_69,BGC >= 80% similarity,1479.2,1835.3,0.30
NZ_VIWX01000004.1.region001,"(1865.3, 1811.8)","P5<br>NZ_VIWX01000004.1.region001<br>['RiPP-like', 'T1PKS', 'NRPS-like']<br>nystatin<br>0.74<br>GCF_191",BGC < 80% similarity,1865.3,1811.8,0.30
BGC0001709,"(1904.2, 1876.7)","BGC0001709<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>n<br>y<br>s<br>t<br>a<br>t<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1904.2,1876.7,0.30
