cblaster search
===============
NC_009142.1.region003
=====================
NC_009142.1
-----------
Cluster 1, score 3.0912:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23273.1  GBGKCCPF_45430  99.6      100       2.76e-207  565       130202  131102  +     
AAG23267.1  GBGKCCPF_45430  35.1      96.7      6.79e-48   160       130202  131102  +     
AAG23274.1  GBGKCCPF_45440  100       100       5.72e-238  648       131101  132268  +     
AAG23275.1  GBGKCCPF_45450  100       100       9.85e-241  654       132363  133374  -     
AAG23276.1  GBGKCCPF_45460  100       100       0          983       133370  134831  -     
AAG23277.1  GBGKCCPF_45480  100       96.5      0          868       135347  136667  -     
AAG23278.1  GBGKCCPF_45490  100       93.9      0          872       137130  138435  +     
AAG23279.1  GBGKCCPF_45500  99.7      100       3.6e-287   775       138472  139630  +     
AAG23280.1  GBGKCCPF_45510  99.6      98.8      4.53e-180  493       139641  140382  +     
AAG23281.1  GBGKCCPF_45530  100       100       4.64e-179  491       141006  141774  -     
AAG23282.1  GBGKCCPF_45540  100       100       6.09e-191  523       141826  142663  +     


NZ_PDBV01000001.region003
=========================
NZ_PDBV01000001
---------------
Cluster 3, score 3.0912:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23276.1  IHGEIAOG_11110  46.8      92.8      4.75e-143  418       14115  15579  -     
AAG23280.1  IHGEIAOG_11120  47.9      94.4      2.54e-74   225       15732  16446  -     
AAG23277.1  IHGEIAOG_11130  35.8      93.2      3.71e-86   269       16498  17746  -     


NZ_PJNB01000001.region007
=========================
NZ_PJNB01000001
---------------
Cluster 4, score 4.3165:
Query       Subject         Identity  Coverage  E-value  Bitscore  Start  End    Strand
AAG23262.1  OOOGHNGE_39320  49.8      94.5      0        4278      19643  37880  +     
AAG23263.1  OOOGHNGE_39330  46.2      99.8      0        3753      37866  53397  +     
AAG23262.1  OOOGHNGE_39330  50.3      94.2      0        4346      37866  53397  +     
AAG23265.1  OOOGHNGE_39340  54        95.1      0        1905      53452  75832  +     
AAG23262.1  OOOGHNGE_39340  47.9      99.3      0        4541      53452  75832  +     


NZ_PJNB01000001.region031
=========================
NZ_PJNB01000001
---------------
Cluster 5, score 49.8786:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23283.1  OOOGHNGE_63860  99.9      98        0          1437      16630  18841  +     
AAG23284.1  OOOGHNGE_63870  100       100       5.14e-141  390       19041  19638  -     
AAG23264.1  OOOGHNGE_63880  38.9      96.9      0          1881      20000  36767  -     
AAG23265.1  OOOGHNGE_63880  55        95        0          1931      20000  36767  -     
AAG23266.1  OOOGHNGE_63880  47.1      97.5      0          2555      20000  36767  -     
AAG23263.1  OOOGHNGE_63880  51.7      98.2      0          4496      20000  36767  -     
AAG23262.1  OOOGHNGE_63880  100       100       0          10797     20000  36767  -     
AAG23264.1  OOOGHNGE_63890  45        97        0          2347      36817  51592  -     
AAG23266.1  OOOGHNGE_63890  56.5      99        0          3154      36817  51592  -     
AAG23263.1  OOOGHNGE_63890  100       99.9      0          9526      36817  51592  -     
AAG23262.1  OOOGHNGE_63890  51.7      94.7      0          4500      36817  51592  -     
AAG23264.1  OOOGHNGE_63910  47.4      96.8      0          2393      51638  61151  -     
AAG23266.1  OOOGHNGE_63910  100       100       0          6110      51638  61151  -     
AAG23265.1  OOOGHNGE_63920  100       99.9      0          4158      61195  67648  -     
AAG23264.1  OOOGHNGE_63930  100       100       0          5013      67671  75459  -     
AAG23273.1  OOOGHNGE_63940  35.9      94.3      1.07e-45   154       75574  76360  -     
AAG23267.1  OOOGHNGE_63940  100       94.9      9e-195     532       75574  76360  -     
AAG23268.1  OOOGHNGE_63950  99.7      100       2.08e-284  769       76856  78029  +     
AAG23269.1  OOOGHNGE_63960  100       100       6.98e-192  523       78068  78821  +     
AAG23272.1  OOOGHNGE_63970  41.9      93.5      1.01e-100  303       78826  80014  -     
AAG23270.1  OOOGHNGE_63970  99        100       3.34e-288  779       78826  80014  -     
AAG23271.1  OOOGHNGE_63980  99.8      96.8      0          1074      80202  81771  +     
AAG23272.1  OOOGHNGE_63990  100       100       8.34e-299  806       81784  82978  +     
AAG23270.1  OOOGHNGE_63990  41.9      95.2      7.29e-98   296       81784  82978  +     
AAG23273.1  OOOGHNGE_64000  99.6      100       2.76e-207  565       82974  83874  +     
AAG23267.1  OOOGHNGE_64000  35.1      96.7      6.79e-48   160       82974  83874  +     
AAG23274.1  OOOGHNGE_64010  100       100       5.72e-238  648       83873  85040  +     
AAG23275.1  OOOGHNGE_64020  100       100       9.85e-241  654       85135  86146  -     
AAG23276.1  OOOGHNGE_64030  100       100       0          983       86142  87603  -     
AAG23277.1  OOOGHNGE_64050  100       96.5      0          868       88119  89439  -     
AAG23278.1  OOOGHNGE_64060  100       93.9      0          872       89902  91207  +     
AAG23279.1  OOOGHNGE_64070  99.7      100       3.6e-287   775       91244  92402  +     
AAG23280.1  OOOGHNGE_64080  99.6      98.8      4.53e-180  493       92413  93154  +     
AAG23281.1  OOOGHNGE_64100  100       100       4.64e-179  491       93778  94546  -     
AAG23282.1  OOOGHNGE_64110  100       100       6.09e-191  523       94598  95435  +     


NZ_CP040605.1.region011
=======================
NZ_CP040605.1
-------------
Cluster 6, score 40.2306:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23280.1  DMCKNNNH_48950  94.4      100       3.66e-173  476       0      750    -     
AAG23279.1  DMCKNNNH_48960  92.2      100       1.42e-268  728       752    1910   -     
AAG23278.1  DMCKNNNH_48970  96.4      84.4      7.12e-281  763       1940   3113   -     
AAG23277.1  DMCKNNNH_48980  88.8      94.5      2.04e-274  748       3751   5041   +     
AAG23276.1  DMCKNNNH_49000  93.8      100       0          922       6219   7680   +     
AAG23275.1  DMCKNNNH_49010  94.9      100       4.92e-225  614       7676   8687   +     
AAG23274.1  DMCKNNNH_49020  94.9      98.8      3.08e-223  611       8709   9867   -     
AAG23273.1  DMCKNNNH_49030  94.3      100       2.5e-194   533       9866   10766  -     
AAG23267.1  DMCKNNNH_49030  35.8      96.7      6.17e-49   163       9866   10766  -     
AAG23272.1  DMCKNNNH_49040  95.2      100       3.44e-282  764       10762  11956  -     
AAG23270.1  DMCKNNNH_49040  42.1      95.2      8.06e-100  301       10762  11956  -     
AAG23271.1  DMCKNNNH_49050  94.1      96.8      0          1019      11969  13538  -     
AAG23272.1  DMCKNNNH_49060  41.1      93.5      1.3e-98    298       13726  14914  +     
AAG23270.1  DMCKNNNH_49060  94.1      99.5      4.1e-273   741       13726  14914  +     
AAG23269.1  DMCKNNNH_49070  96.4      100       1.77e-185  507       14919  15672  -     
AAG23268.1  DMCKNNNH_49080  94.1      91.8      1.3e-245   669       15711  16788  -     
AAG23273.1  DMCKNNNH_49090  36.3      94.3      4.89e-47   157       17378  18164  +     
AAG23267.1  DMCKNNNH_49090  93.5      94.9      1.84e-178  491       17378  18164  +     
AAG23264.1  DMCKNNNH_49100  53.4      100       0          3784      18279  31323  +     
AAG23265.1  DMCKNNNH_49100  53.2      94.8      0          1840      18279  31323  +     
AAG23266.1  DMCKNNNH_49100  51.7      97.4      0          2812      18279  31323  +     
AAG23263.1  DMCKNNNH_49100  67.6      66.5      0          4151      18279  31323  +     
AAG23262.1  DMCKNNNH_49100  54.1      94        0          4742      18279  31323  +     
AAG23265.1  DMCKNNNH_49110  90.9      99.9      0          3774      31346  37805  +     
AAG23264.1  DMCKNNNH_49120  47.4      96.8      0          2383      37849  47356  +     
AAG23266.1  DMCKNNNH_49120  93.2      100       0          5693      37849  47356  +     
AAG23264.1  DMCKNNNH_49130  67.4      62.1      0          2021      47403  62175  +     
AAG23266.1  DMCKNNNH_49130  56.5      99        0          3174      47403  62175  +     
AAG23263.1  DMCKNNNH_49130  92.1      99.9      0          8759      47403  62175  +     
AAG23262.1  DMCKNNNH_49130  51.6      95.6      0          4500      47403  62175  +     
AAG23265.1  DMCKNNNH_49150  54.5      94.7      0          1909      62226  78924  +     
AAG23266.1  DMCKNNNH_49150  46.7      98        0          2564      62226  78924  +     
AAG23263.1  DMCKNNNH_49150  51.8      99.1      0          4528      62226  78924  +     
AAG23262.1  DMCKNNNH_49150  89.5      100       0          9671      62226  78924  +     
AAG23282.1  DMCKNNNH_49230  34.7      67.3      8.23e-18   80.9      86972  87917  +     


c00001_NZ_JACH...region019
==========================
c00001_NZ_JACH..
----------------
Cluster 7, score 10.4437:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End     Strand
AAG23276.1  JNMMHGMF_40470  50.3      94.7      3.46e-156  451       10219  11653   +     
AAG23275.1  JNMMHGMF_40480  53.8      91.6      5.03e-99   294       11649  12630   +     
AAG23277.1  JNMMHGMF_40500  32.8      93.2      5.8e-52    179       13627  14866   -     
AAG23263.1  JNMMHGMF_40540  46.9      98.3      0          3802      18021  38670   -     
AAG23262.1  JNMMHGMF_40540  51.8      94.1      0          4576      18021  38670   -     
AAG23266.1  JNMMHGMF_40550  50.4      99.4      0          2670      38904  48198   -     
AAG23265.1  JNMMHGMF_40660  51.9      99.5      0          1942      66433  72922   -     
AAG23264.1  JNMMHGMF_40670  40.5      97.3      0          1920      72933  100695  -     
AAG23266.1  JNMMHGMF_40670  52.9      97.6      0          2842      72933  100695  -     
AAG23263.1  JNMMHGMF_40670  52.6      98.2      0          4325      72933  100695  -     


c00001_NZ_JACH...region014
==========================
c00001_NZ_JACH..
----------------
Cluster 8, score 3.6164:
Query       Subject         Identity  Coverage  E-value   Bitscore  Start  End    Strand
AAG23264.1  LLPKHOMA_48250  50.8      96.7      0         2068      20000  38294  +     
AAG23265.1  LLPKHOMA_48250  50.7      98.2      0         1860      20000  38294  +     
AAG23265.1  LLPKHOMA_48260  53.5      94.8      0         1893      38341  58420  +     
AAG23262.1  LLPKHOMA_48260  45.8      94.2      0         3987      38341  58420  +     
AAG23273.1  LLPKHOMA_48290  32.8      68.6      1.14e-26  104       65746  66604  +     
AAG23267.1  LLPKHOMA_48290  36        59.3      1.77e-28  109       65746  66604  +     


NZ_CP061007.1.region006
=======================
NZ_CP061007.1
-------------
Cluster 10, score 63.0147:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23266.1  PKJGIIBK_03190  100       66.4      0          4081      50502   57060   -     
AAG23265.1  PKJGIIBK_03210  99.9      59.3      0          2478      59620   63556   -     
AAG23273.1  PKJGIIBK_03260  35.9      94.3      1.07e-45   154       71478   72264   -     
AAG23267.1  PKJGIIBK_03260  100       94.9      9e-195     532       71478   72264   -     
AAG23271.1  PKJGIIBK_03300  66.1      77        1.47e-169  486       75271   76561   +     
AAG23272.1  PKJGIIBK_03320  100       72.3      1.7e-209   576       76845   77733   +     
AAG23270.1  PKJGIIBK_03320  39.1      71.6      4.48e-59   193       76845   77733   +     
AAG23273.1  PKJGIIBK_03340  99.6      100       2.76e-207  565       78034   78934   +     
AAG23267.1  PKJGIIBK_03340  35.1      96.7      6.79e-48   160       78034   78934   +     
AAG23274.1  PKJGIIBK_03350  100       100       5.72e-238  648       78933   80100   +     
AAG23275.1  PKJGIIBK_03360  100       100       9.85e-241  654       80195   81206   -     
AAG23276.1  PKJGIIBK_03370  99.8      100       0          981       81202   82663   -     
AAG23277.1  PKJGIIBK_03390  100       96.5      0          868       83178   84498   -     
AAG23278.1  PKJGIIBK_03400  100       93.9      0          872       84961   86266   +     
AAG23279.1  PKJGIIBK_03410  99.7      100       3.6e-287   775       86303   87461   +     
AAG23280.1  PKJGIIBK_03420  99.6      98.8      4.53e-180  493       87472   88213   +     
AAG23281.1  PKJGIIBK_03440  100       100       4.64e-179  491       88837   89605   -     
AAG23282.1  PKJGIIBK_03450  100       100       6.09e-191  523       89657   90494   +     
AAG23264.1  PKJGIIBK_03600  99.9      74.9      0          3771      102658  108523  -     
AAG23273.1  PKJGIIBK_03610  35.9      94.3      1.07e-45   154       108638  109424  -     
AAG23267.1  PKJGIIBK_03610  100       94.9      9e-195     532       108638  109424  -     
AAG23268.1  PKJGIIBK_03620  99.7      100       2.08e-284  769       109920  111093  +     
AAG23269.1  PKJGIIBK_03630  100       100       6.98e-192  523       111132  111885  +     
AAG23272.1  PKJGIIBK_03640  41.9      93.5      1.01e-100  303       111890  113078  -     
AAG23270.1  PKJGIIBK_03640  99        100       3.34e-288  779       111890  113078  -     
AAG23271.1  PKJGIIBK_03650  99.8      96.8      0          1074      113266  114835  +     
AAG23272.1  PKJGIIBK_03660  100       100       8.34e-299  806       114848  116042  +     
AAG23270.1  PKJGIIBK_03660  41.9      95.2      7.29e-98   296       114848  116042  +     
AAG23273.1  PKJGIIBK_03670  99.6      100       2.76e-207  565       116038  116938  +     
AAG23267.1  PKJGIIBK_03670  35.1      96.7      6.79e-48   160       116038  116938  +     
AAG23274.1  PKJGIIBK_03680  100       100       5.72e-238  648       116937  118104  +     
AAG23275.1  PKJGIIBK_03690  100       100       9.85e-241  654       118199  119210  -     
AAG23276.1  PKJGIIBK_03700  99.8      100       0          981       119206  120667  -     
AAG23277.1  PKJGIIBK_03720  100       96.5      0          868       121183  122503  -     
AAG23278.1  PKJGIIBK_03730  100       93.9      0          872       122966  124271  +     
AAG23279.1  PKJGIIBK_03740  99.7      100       3.6e-287   775       124308  125466  +     
AAG23280.1  PKJGIIBK_03750  99.6      98.8      4.53e-180  493       125477  126218  +     
AAG23281.1  PKJGIIBK_03770  100       100       4.64e-179  491       126842  127610  -     
AAG23282.1  PKJGIIBK_03780  100       100       6.09e-191  523       127662  128499  +     

Cluster 9, score 4.3050:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23283.1  PKJGIIBK_03060  99.7      50.2      5.58e-263  729       13627  14761  +     
AAG23284.1  PKJGIIBK_03070  100       100       5.14e-141  390       14961  15558  -     
AAG23265.1  PKJGIIBK_03080  55        95        0          1931      15920  22052  -     


NZ_CP031142.1.region026
=======================
NZ_CP031142.1
-------------
Cluster 11, score 38.9473:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23265.1  IECPHNMA_33430  55.1      94.8      0          1936      67467   84162   -     
AAG23266.1  IECPHNMA_33430  47.4      98        0          2560      67467   84162   -     
AAG23263.1  IECPHNMA_33430  52.3      99.1      0          4541      67467   84162   -     
AAG23262.1  IECPHNMA_33430  90.8      100       0          9786      67467   84162   -     
AAG23266.1  IECPHNMA_33450  53.7      90.8      0          2751      89498   99008   -     
AAG23263.1  IECPHNMA_33450  93.1      62.8      0          5588      89498   99008   -     
AAG23264.1  IECPHNMA_33460  47.5      96.8      0          2395      99055   108559  -     
AAG23266.1  IECPHNMA_33460  93.5      100       0          5717      99055   108559  -     
AAG23265.1  IECPHNMA_33470  93.1      99.9      0          3872      108603  115053  -     
AAG23264.1  IECPHNMA_33480  53.5      100       0          3811      115076  128111  -     
AAG23266.1  IECPHNMA_33480  51.7      97.9      0          2814      115076  128111  -     
AAG23263.1  IECPHNMA_33480  67.7      66.5      0          4168      115076  128111  -     
AAG23262.1  IECPHNMA_33480  54.3      94        0          4766      115076  128111  -     
AAG23273.1  IECPHNMA_33490  35.9      94.3      8.79e-48   159       128221  129007  -     
AAG23267.1  IECPHNMA_33490  91.6      94.9      1.02e-175  484       128221  129007  -     
AAG23268.1  IECPHNMA_33500  93.6      100       3.8e-265   721       129460  130672  +     
AAG23269.1  IECPHNMA_33510  97.2      100       1.07e-186  510       130711  131464  +     
AAG23272.1  IECPHNMA_33520  41.4      93.5      9.16e-99   298       131469  132657  -     
AAG23270.1  IECPHNMA_33520  94.4      99.5      1.17e-272  739       131469  132657  -     
AAG23271.1  IECPHNMA_33530  94.1      96.8      0          1017      132845  134414  +     
AAG23272.1  IECPHNMA_33540  96        100       3.59e-284  769       134427  135621  +     
AAG23270.1  IECPHNMA_33540  42.4      95.2      2.02e-100  303       134427  135621  +     
AAG23273.1  IECPHNMA_33550  93.6      100       8.34e-193  529       135617  136517  +     
AAG23267.1  IECPHNMA_33550  36        93.1      6.17e-49   163       135617  136517  +     
AAG23274.1  IECPHNMA_33560  96.8      99.1      9.24e-228  622       136516  137683  +     
AAG23275.1  IECPHNMA_33570  95.5      100       7.3e-227   619       137778  138789  -     
AAG23276.1  IECPHNMA_33580  94.7      100       0          927       138785  140246  -     
AAG23277.1  IECPHNMA_33600  90.9      96.3      4.23e-285  775       140974  142288  -     
AAG23278.1  IECPHNMA_33620  95.6      93.9      1.8e-310   840       142776  144081  +     
AAG23279.1  IECPHNMA_33630  93.7      98.2      1.48e-266  723       144118  145255  +     
AAG23280.1  IECPHNMA_33640  93.1      98.8      1.28e-170  469       145287  146028  +     


NZ_CP069353.1.region004
=======================
NZ_CP069353.1
-------------
Cluster 12, score 3.0913:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23276.1  KHDLNAGE_08470  46.8      92.8      4.75e-143  418       14115  15579  -     
AAG23280.1  KHDLNAGE_08480  48.3      94.4      6.3e-75    226       15732  16446  -     
AAG23277.1  KHDLNAGE_08490  35.8      93.2      3.71e-86   269       16498  17746  -     


NZ_CP054839.1.region003
=======================
NZ_CP054839.1
-------------
Cluster 13, score 3.0911:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23276.1  NFDOCLAH_07710  46.2      92.8      2.98e-141  414       14324  15785  -     
AAG23280.1  NFDOCLAH_07720  47.9      94.4      1.45e-73   223       15938  16652  -     
AAG23277.1  NFDOCLAH_07730  36.8      93.2      3.01e-88   274       16703  17951  -     


NZ_CP054839.1.region012
=======================
NZ_CP054839.1
-------------
Cluster 14, score 10.4465:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23264.1  NFDOCLAH_30140  41.4      99        0          1961      18997   46828   +     
AAG23266.1  NFDOCLAH_30140  53.6      96.4      0          2877      18997   46828   +     
AAG23263.1  NFDOCLAH_30140  52.7      98.2      0          4371      18997   46828   +     
AAG23265.1  NFDOCLAH_30150  51.9      99.7      0          1942      46877   53321   +     
AAG23266.1  NFDOCLAH_30250  51.7      97.4      0          2698      70628   79955   +     
AAG23263.1  NFDOCLAH_30260  46.7      99.2      0          3807      79971   100590  +     
AAG23262.1  NFDOCLAH_30260  51.7      94.5      0          4532      79971   100590  +     
AAG23277.1  NFDOCLAH_30290  32.3      93.4      3.17e-50   175       103033  104272  +     
AAG23275.1  NFDOCLAH_30310  50.3      95.8      1.02e-91   276       105076  106135  -     
AAG23276.1  NFDOCLAH_30320  52.7      94.7      4.69e-164  471       106131  107565  -     


c00002_NZ_JABN...region002
==========================
c00002_NZ_JABN..
----------------
Cluster 15, score 3.0913:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23277.1  MNMGINNK_56470  35.8      93.2      3.71e-86   269       52440  53688  +     
AAG23280.1  MNMGINNK_56480  48.3      94.4      6.3e-75    226       53740  54454  +     
AAG23276.1  MNMGINNK_56490  46.8      92.8      4.75e-143  418       54607  56071  +     


NZ_CP059557.1.region004
=======================
NZ_CP059557.1
-------------
Cluster 16, score 10.3910:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23263.1  DPJDDACK_16000  52.6      94.6      0          4193      19716   33867   +     
AAG23265.1  DPJDDACK_16030  51.3      99.5      0          1927      47406   53847   +     
AAG23266.1  DPJDDACK_16140  50.5      97.4      0          2658      72019   81304   +     
AAG23262.1  DPJDDACK_16150  51.2      88.4      0          4212      81535   96301   +     
AAG23277.1  DPJDDACK_16200  31.6      93.2      2.45e-46   164       105706  106945  +     
AAG23268.1  DPJDDACK_16200  30.7      93.8      1.1e-34    131       105706  106945  +     
AAG23275.1  DPJDDACK_16220  55.1      91.6      6.73e-102  301       107884  108865  -     
AAG23276.1  DPJDDACK_16230  50.3      94.7      1.06e-157  455       108861  110295  -     


NZ_CP059557.1.region021
=======================
NZ_CP059557.1
-------------
Cluster 17, score 6.1994:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23276.1  DPJDDACK_39670  49.3      90.9      1.53e-152  441       58744  60088  +     
AAG23275.1  DPJDDACK_39690  51.4      97.6      7.93e-98   291       60650  61661  +     
AAG23278.1  DPJDDACK_39700  69.9      92.9      6.86e-229  633       61691  62990  +     
AAG23273.1  DPJDDACK_39750  40.9      68.6      1.99e-42   145       67490  68315  +     
AAG23267.1  DPJDDACK_39750  33.9      97.1      6.1e-38    134       67490  68315  +     
AAG23279.1  DPJDDACK_39840  63.3      96.9      6.04e-172  484       76945  78097  -     


NZ_CP059556.1.region004
=======================
NZ_CP059556.1
-------------
Cluster 18, score 11.2527:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
AAG23266.1  AHDHMJBP_16200  53.1      90.5      0          2596      29616   46968   +     
AAG23265.1  AHDHMJBP_16210  50.2      99.5      0          1887      46995   53757   +     
AAG23266.1  AHDHMJBP_16290  50.2      99.4      0          2583      69021   78267   +     
AAG23263.1  AHDHMJBP_16300  47.2      99.7      0          3795      78281   98816   +     
AAG23262.1  AHDHMJBP_16300  52.2      94.8      0          4535      78281   98816   +     
AAG23277.1  AHDHMJBP_16330  33.1      93.4      1.19e-50   176       101413  102655  +     
AAG23268.1  AHDHMJBP_16330  30.1      99.2      3.07e-35   133       101413  102655  +     
AAG23275.1  AHDHMJBP_16350  53.9      88        1.29e-99   296       103648  104632  -     
AAG23276.1  AHDHMJBP_16360  50.9      94.7      2.13e-157  454       104628  106062  -     


NZ_CP102826.1.region005
=======================
NZ_CP102826.1
-------------
Cluster 19, score 4.1045:
Query       Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
AAG23272.1  PCIEKJGK_20890  38.4      93.5      1.51e-77   244       18624  19830  -     
AAG23270.1  PCIEKJGK_20890  40.3      95.2      3.37e-88   271       18624  19830  -     
AAG23275.1  PCIEKJGK_20950  52.9      97.3      2.23e-108  318       25502  26489  -     
AAG23276.1  PCIEKJGK_20970  51        92        1.72e-158  456       27075  28440  -     
