,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_RBXX01000002.1.region016,"(2174.0, 1740.0)",P1<br>NZ_RBXX01000002.1.region016<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_3,BGC < 40% similarity,2174.0,1740.0,0.30
BGC0001919,"(2094.8, 1729.3)","BGC0001919<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>n<br>e<br>o<br>a<br>n<br>t<br>i<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2094.8,1729.3,0.30
NZ_RBXX01000002.1.region017,"(1451.2, 2638.6)","P1<br>NZ_RBXX01000002.1.region017<br>['CDPS', 'T3PKS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57<br>GCF_106",BGC < 80% similarity,1451.2,2638.6,0.30
BGC0001077,"(1528.7, 2651.3)","BGC0001077<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>a<br>l<br>k<br>y<br>l<br>-<br>O<br>-<br>d<br>i<br>h<br>y<br>d<br>r<br>o<br>g<br>e<br>r<br>a<br>n<br>y<br>l<br>-<br>m<br>e<br>t<br>h<br>o<br>x<br>y<br>h<br>y<br>d<br>r<br>o<br>q<br>u<br>i<br>n<br>o<br>n<br>e<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1528.7,2651.3,0.30
NZ_RBXX01000002.1.region018,"(2118.7, 2539.1)",P1<br>NZ_RBXX01000002.1.region018<br>['redox-cofactor']<br>lankacidin C<br>0.13<br>GCF_13,BGC < 40% similarity,2118.7,2539.1,0.30
BGC0001100,"(2190.1, 2605.2)","BGC0001100<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>l<br>a<br>n<br>k<br>a<br>c<br>i<br>d<br>i<br>n<br> <br>C<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2190.1,2605.2,0.30
NZ_RBXX01000002.1.region019,"(2027.5, 1628.5)",P1<br>NZ_RBXX01000002.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_42,BGC >= 80% similarity,2027.5,1628.5,0.30
BGC0000659,"(1995.6, 1649.3)","BGC0000659<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>2<br>-<br>m<br>e<br>t<br>h<br>y<br>l<br>i<br>s<br>o<br>b<br>o<br>r<br>n<br>e<br>o<br>l<br>'<br>]<br>)",MIBIG (BiG-SCAPE),1995.6,1649.3,0.30
NZ_RBXX01000002.1.region020,"(1611.0, 2016.3)","P1<br>NZ_RBXX01000002.1.region020<br>['NRPS', 'T1PKS', 'RiPP-like']<br>heat-stable antifungal factor<br>0.38<br>GCF_19",BGC < 40% similarity,1611.0,2016.3,0.30
BGC0000999,"(1683.6, 2091.8)","BGC0000999<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>h<br>e<br>a<br>t<br>-<br>s<br>t<br>a<br>b<br>l<br>e<br> <br>a<br>n<br>t<br>i<br>f<br>u<br>n<br>g<br>a<br>l<br> <br>f<br>a<br>c<br>t<br>o<br>r<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1683.6,2091.8,0.30
NZ_RBXX01000002.1.region021,"(1661.0, 2235.3)","P1<br>NZ_RBXX01000002.1.region021<br>['NRPS', 'NRPS-like', 'PKS-like', 'T1PKS']<br>echinomycin<br>0.33<br>GCF_26",BGC < 40% similarity,1661.0,2235.3,0.30
BGC0000339,"(1599.7, 2304.6)","BGC0000339<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>e<br>c<br>h<br>i<br>n<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1599.7,2304.6,0.30
NZ_RBXX01000002.1.region022,"(2830.4, 990.62)",P1<br>NZ_RBXX01000002.1.region022<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_14,BGC < 40% similarity,2830.4,990.62,0.30
BGC0000632,"(2898.6, 1064.3)","BGC0000632<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>b<br>r<br>a<br>s<br>i<br>l<br>i<br>c<br>a<br>r<br>d<br>i<br>n<br> <br>A<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2898.6,1064.3,0.30
NZ_RBXX01000002.1.region023,"(2300.3, 473.08)","P1<br>NZ_RBXX01000002.1.region023<br>['LAP', 'NRPS']<br>guadinomine<br>0.08<br>GCF_23",BGC < 40% similarity,2300.3,473.08,0.30
BGC0000998,"(2376.7, 511.69)","BGC0000998<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>n<br>e<br>;<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>n<br>e<br> <br>B<br>;<br>g<br>u<br>a<br>d<br>i<br>n<br>o<br>m<br>i<br>c<br> <br>a<br>c<br>i<br>d<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2376.7,511.69,0.30
NZ_FOUP01000033.1.region001,"(2211.7, 288.0)",P1<br>NZ_FOUP01000033.1.region001<br>['terpene']<br>tetronomycin<br>0.06<br>GCF_123,BGC < 40% similarity,2211.7,288.0,0.30
NZ_FOUP01000003.1.region001,"(1416.0, 1720.7)",P1<br>NZ_FOUP01000003.1.region001<br>['NRPS']<br>bacillibactin<br>0.15<br>GCF_4,BGC < 40% similarity,1416.0,1720.7,0.30
NZ_FOUP01000002.1.region001,"(2980.9, 2970.6)",P1<br>NZ_FOUP01000002.1.region001<br>['amglyccycl']<br>cetoniacytone A<br>0.45<br>GCF_28,BGC < 80% similarity,2980.9,2970.6,0.30
NZ_FOUP01000002.1.region002,"(1541.6, 1939.5)",P1<br>NZ_FOUP01000002.1.region002<br>['T1PKS']<br>maduropeptin<br>0.28<br>GCF_94,BGC < 40% similarity,1541.6,1939.5,0.30
NZ_FOUP01000001.1.region001,"(1467.7, 2583.7)","P1<br>NZ_FOUP01000001.1.region001<br>['T3PKS', 'CDPS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57<br>GCF_106",BGC < 80% similarity,1467.7,2583.7,0.30
NZ_FOUP01000001.1.region002,"(2162.2, 1792.9)",P1<br>NZ_FOUP01000001.1.region002<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_3,BGC < 40% similarity,2162.2,1792.9,0.30
NZ_FOUP01000001.1.region003,"(1070.3, 378.0)",P1<br>NZ_FOUP01000001.1.region003<br>['CDPS']<br>meridamycin<br>0.05<br>GCF_29,BGC < 40% similarity,1070.3,378.0,0.30
NZ_FOUP01000001.1.region004,"(2055.5, 1289.0)",P1<br>NZ_FOUP01000001.1.region004<br>['terpene']<br>hopene<br>0.46<br>GCF_5,BGC < 80% similarity,2055.5,1289.0,0.30
NZ_FOUP01000001.1.region005,"(2070.9, 1394.4)",P1<br>NZ_FOUP01000001.1.region005<br>['terpene']<br>geosmin<br>1.00<br>GCF_15,BGC >= 80% similarity,2070.9,1394.4,0.30
NZ_FOUP01000001.1.region006,"(2147.0, 2516.5)",P1<br>NZ_FOUP01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.13<br>GCF_13,BGC < 40% similarity,2147.0,2516.5,0.30
NZ_FOUP01000001.1.region007,"(1991.2, 1617.7)",P1<br>NZ_FOUP01000001.1.region007<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_42,BGC >= 80% similarity,1991.2,1617.7,0.30
NZ_FOUP01000028.1.region001,"(2810.7, 1049.2)",P1<br>NZ_FOUP01000028.1.region001<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_14,BGC < 40% similarity,2810.7,1049.2,0.30
NZ_FOUP01000012.1.region001,"(960.19, 836.25)",P1<br>NZ_FOUP01000012.1.region001<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,960.19,836.25,0.30
NZ_FOUP01000013.1.region001,"(1066.7, 2088.1)","P1<br>NZ_FOUP01000013.1.region001<br>['lanthipeptide-class-iv', 'indole']<br>Sch-47554 / Sch-47555<br>0.07<br>GCF_9",P1 | lanthipeptide BGC,1066.7,2088.1,0.30
NZ_FOUP01000013.1.region002,"(1633.1, 3048.3)","P1<br>NZ_FOUP01000013.1.region002<br>['T1PKS', 'T2PKS']<br>xantholipin<br>0.08<br>GCF_109",BGC < 40% similarity,1633.1,3048.3,0.30
NZ_FOUP01000007.1.region001,"(1643.0, 2224.4)","P1<br>NZ_FOUP01000007.1.region001<br>['T1PKS', 'PKS-like', 'NRPS-like', 'NRPS']<br>echinomycin<br>0.33<br>GCF_26",BGC < 40% similarity,1643.0,2224.4,0.30
NZ_FOUP01000007.1.region002,"(1580.5, 2006.3)","P1<br>NZ_FOUP01000007.1.region002<br>['RiPP-like', 'NRPS', 'T1PKS']<br>pactamides<br>0.33<br>GCF_19",BGC < 40% similarity,1580.5,2006.3,0.30
BGC0001726,"(1532.0, 2094.5)","BGC0001726<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>p<br>a<br>c<br>t<br>a<br>m<br>i<br>d<br>e<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1532.0,2094.5,0.30
NZ_FOUP01000014.1.region001,"(2350.9, 468.0)","P1<br>NZ_FOUP01000014.1.region001<br>['LAP', 'NRPS']<br>guadinomine<br>0.08<br>GCF_23",BGC < 40% similarity,2350.9,468.0,0.30
NZ_FOUP01000011.1.region001,"(3170.3, 738.0)",P1<br>NZ_FOUP01000011.1.region001<br>['NRPS']<br>azicemicin B<br>0.18<br>GCF_30,BGC < 40% similarity,3170.3,738.0,0.30
NZ_FOUP01000018.1.region001,"(536.45, 1281.8)",P1<br>NZ_FOUP01000018.1.region001<br>['lassopeptide']<br>SSV-2083<br>0.18<br>GCF_40,BGC < 40% similarity,536.45,1281.8,0.30
NZ_VIWX01000001.1.region001,"(2532.4, 2181.8)",P5<br>NZ_VIWX01000001.1.region001<br>['indole']<br>fortimicin<br>0.09<br>GCF_204,BGC < 40% similarity,2532.4,2181.8,0.30
BGC0000695,"(2623.9, 2169.2)","BGC0000695<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>f<br>o<br>r<br>t<br>i<br>m<br>i<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2623.9,2169.2,0.30
NZ_VIWX01000001.1.region002,"(2373.1, 1626.7)",P5<br>NZ_VIWX01000001.1.region002<br>['terpene']<br>isorenieratene<br>0.71<br>GCF_125,BGC < 80% similarity,2373.1,1626.7,0.30
BGC0000664,"(2280.9, 1623.6)","BGC0000664<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>T<br>e<br>r<br>p<br>e<br>n<br>e<br>'<br>,<br> <br>'<br>i<br>s<br>o<br>r<br>e<br>n<br>i<br>e<br>r<br>a<br>t<br>e<br>n<br>e<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2280.9,1623.6,0.30
NZ_VIWX01000001.1.region005,"(2815.2, 1115.6)",P5<br>NZ_VIWX01000001.1.region005<br>['terpene']<br>brasilicardin A<br>0.31<br>GCF_14,BGC < 40% similarity,2815.2,1115.6,0.30
NZ_VIWX01000001.1.region006,"(2201.8, 2713.1)",P5<br>NZ_VIWX01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.20<br>GCF_34,BGC < 40% similarity,2201.8,2713.1,0.30
NZ_VIWX01000001.1.region008,"(1490.5, 1130.5)",P5<br>NZ_VIWX01000001.1.region008<br>['terpene']<br>SF2575<br>0.07<br>GCF_2,BGC < 40% similarity,1490.5,1130.5,0.30
BGC0000269,"(1580.8, 1196.6)","BGC0000269<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>S<br>F<br>2<br>5<br>7<br>5<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1580.8,1196.6,0.30
NZ_VIWX01000001.1.region009,"(1225.3, 1945.9)",P5<br>NZ_VIWX01000001.1.region009<br>['lassopeptide']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40<br>GCF_303,BGC < 80% similarity,1225.3,1945.9,0.30
BGC0000519,"(1311.2, 1980.7)","BGC0000519<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>R<br>i<br>P<br>P<br>'<br>,<br> <br>'<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>2<br>;<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>1<br>;<br>l<br>a<br>b<br>y<br>r<br>i<br>n<br>t<br>h<br>o<br>p<br>e<br>p<br>t<br>i<br>n<br> <br>A<br>3<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1311.2,1980.7,0.30
NZ_VIWX01000002.1.region002,"(1627.5, 1903.2)",P5<br>NZ_VIWX01000002.1.region002<br>['T1PKS']<br>branched-chain fatty acids<br>1.25<br>GCF_137,BGC >= 80% similarity,1627.5,1903.2,0.30
BGC0001534,"(1692.9, 1901.2)","BGC0001534<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>O<br>t<br>h<br>e<br>r<br>'<br>,<br> <br>'<br>b<br>r<br>a<br>n<br>c<br>h<br>e<br>d<br>-<br>c<br>h<br>a<br>i<br>n<br> <br>f<br>a<br>t<br>t<br>y<br> <br>a<br>c<br>i<br>d<br>s<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1692.9,1901.2,0.30
NZ_VIWX01000002.1.region003,"(2391.5, 901.45)",P5<br>NZ_VIWX01000002.1.region003<br>['arylpolyene']<br>A54145<br>0.03<br>GCF_209,BGC < 40% similarity,2391.5,901.45,0.30
BGC0000291,"(2390.5, 979.3)","BGC0000291<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>A<br>5<br>4<br>1<br>4<br>5<br>'<br>]<br>)",MIBIG (KnownClusterBlast),2390.5,979.3,0.30
NZ_VIWX01000002.1.region004,"(1730.3, 1962.5)","P5<br>NZ_VIWX01000002.1.region004<br>['T1PKS', 'T3PKS', 'NRPS', 'NRPS-like']<br>totopotensamide A / totopotensamide B<br>0.56<br>GCF_60",BGC < 80% similarity,1730.3,1962.5,0.30
BGC0001807,"(1723.1, 1930.2)","BGC0001807<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>;<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>t<br>o<br>t<br>o<br>p<br>o<br>t<br>e<br>n<br>s<br>a<br>m<br>i<br>d<br>e<br> <br>A<br>;<br>t<br>o<br>t<br>o<br>p<br>o<br>t<br>e<br>n<br>s<br>a<br>m<br>i<br>d<br>e<br> <br>B<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1723.1,1930.2,0.30
NZ_VIWX01000002.1.region005,"(1212.5, 1717.4)",P5<br>NZ_VIWX01000002.1.region005<br>['siderophore']<br>ficellomycin<br>0.07<br>GCF_153,BGC < 40% similarity,1212.5,1717.4,0.30
BGC0001593,"(1111.1, 1689.3)","BGC0001593<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>f<br>i<br>c<br>e<br>l<br>l<br>o<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1111.1,1689.3,0.30
NZ_VIWX01000002.1.region006,"(1079.3, 2769.8)",P5<br>NZ_VIWX01000002.1.region006<br>['terpene']<br>kanamycin<br>0.01<br>GCF_43,BGC < 40% similarity,1079.3,2769.8,0.30
BGC0000703,"(1065.5, 2696.3)","BGC0000703<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>k<br>a<br>n<br>a<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1065.5,2696.3,0.30
NZ_VIWX01000002.1.region007,"(1990.5, 1247.8)",P5<br>NZ_VIWX01000002.1.region007<br>['terpene']<br>hopene<br>0.38<br>GCF_45,BGC < 40% similarity,1990.5,1247.8,0.30
NZ_VIWX01000002.1.region008,"(2044.3, 1405.9)",P5<br>NZ_VIWX01000002.1.region008<br>['terpene']<br>geosmin<br>1.00<br>GCF_41,BGC >= 80% similarity,2044.3,1405.9,0.30
NZ_VIWX01000004.1.region001,"(1621.3, 2062.0)","P5<br>NZ_VIWX01000004.1.region001<br>['RiPP-like', 'T1PKS', 'NRPS-like']<br>nystatin A1<br>0.68<br>GCF_168",BGC < 80% similarity,1621.3,2062.0,0.30
BGC0000115,"(1565.7, 2121.0)","BGC0000115<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>n<br>y<br>s<br>t<br>a<br>t<br>i<br>n<br> <br>A<br>1<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1565.7,2121.0,0.30
NZ_VIWX01000005.1.region001,"(1543.1, 1707.3)",P5<br>NZ_VIWX01000005.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07<br>GCF_4,BGC < 40% similarity,1543.1,1707.3,0.30
