cblaster search
===============
NZ_GL877881.1.region003
=======================
NZ_GL877881.1
-------------
Cluster 1, score 15.2523:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00065  DMCKNNNH_53300  52.4      95.4      3.73e-120  348       2988   3972   +     
NCTC8325_00066  DMCKNNNH_53310  58        99.1      7.06e-140  399       3987   5001   +     
NCTC8325_00067  DMCKNNNH_53320  30.9      97.6      7.83e-81   264       5000   6725   +     
NCTC8325_00068  DMCKNNNH_53330  32.7      92.6      2.44e-54   184       6724   7942   +     
NCTC8325_00069  DMCKNNNH_53340  38.3      89.4      4.97e-95   300       8245   9889   +     
NCTC8325_00070  DMCKNNNH_53350  43.4      96.3      6.3e-136   407       9885   11649  +     
NCTC8325_00071  DMCKNNNH_53360  47.4      96.1      3.7e-76    231       11642  12416  +     
NCTC8325_00072  DMCKNNNH_53370  48.8      95.8      8.24e-133  385       12408  13602  +     


c00002_NZ_JACH...region002
==========================
c00002_NZ_JACH..
----------------
Cluster 4, score 15.2530:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00065  LLPKHOMA_55960  53.7      95.4      8.53e-124  357       2982   3966   +     
NCTC8325_00066  LLPKHOMA_55970  58.3      99.1      1.76e-138  395       3981   5001   +     
NCTC8325_00067  LLPKHOMA_55980  31.8      97.4      3.9e-81    265       5000   6722   +     
NCTC8325_00068  LLPKHOMA_55990  36        89.5      3.21e-63   207       6721   7927   +     
NCTC8325_00069  LLPKHOMA_56000  35.9      88.8      4.28e-87   279       7923   9558   +     
NCTC8325_00070  LLPKHOMA_56010  42.2      96.3      2.64e-134  403       9554   11312  +     
NCTC8325_00071  LLPKHOMA_56020  47.8      96.1      4.58e-77   233       11311  12085  +     
NCTC8325_00072  LLPKHOMA_56030  48.6      95.8      6.26e-135  391       12077  13271  +     


NZ_CP061007.1.region003
=======================
NZ_CP061007.1
-------------
Cluster 5, score 15.2521:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00072  PKJGIIBK_01380  48.9      94        3.32e-132  384       3044   4238   -     
NCTC8325_00071  PKJGIIBK_01390  47        96.1      2.7e-76    231       4230   5007   -     
NCTC8325_00070  PKJGIIBK_01400  43.4      96.3      7.95e-137  410       5000   6764   -     
NCTC8325_00069  PKJGIIBK_01410  38.4      89.4      1.94e-94   298       6760   8404   -     
NCTC8325_00068  PKJGIIBK_01420  33.1      92.6      1.74e-54   184       8400   9618   -     
NCTC8325_00067  PKJGIIBK_01430  31        97.6      7.01e-83   269       9617   11342  -     
NCTC8325_00066  PKJGIIBK_01440  57.7      99.1      2.33e-138  395       11341  12355  -     
NCTC8325_00065  PKJGIIBK_01450  52.7      95.4      4.59e-121  350       12370  13354  -     


NZ_CP031142.1.region007
=======================
NZ_CP031142.1
-------------
Cluster 6, score 15.2533:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00065  IECPHNMA_04590  52.7      95.4      1.31e-120  349       2988   3972   +     
NCTC8325_00066  IECPHNMA_04600  58        99.1      2.02e-139  397       3987   5001   +     
NCTC8325_00067  IECPHNMA_04610  31.2      97.6      1.82e-83   271       5000   6725   +     
NCTC8325_00068  IECPHNMA_04620  33.2      92.6      3.02e-56   189       6724   7942   +     
NCTC8325_00069  IECPHNMA_04630  37.1      89.4      3.84e-94   298       7938   9582   +     
NCTC8325_00070  IECPHNMA_04640  43.5      96.3      2.82e-137  411       9578   11342  +     
NCTC8325_00071  IECPHNMA_04650  47.4      96.1      3.7e-76    231       11335  12109  +     
NCTC8325_00072  IECPHNMA_04660  49.1      95.8      2.04e-133  387       12101  13295  +     


c00012_NZ_JAGP...region001
==========================
c00012_NZ_JAGP..
----------------
Cluster 7, score 15.2566:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00072  FLBDJKNF_30290  48.8      94.3      1.84e-130  379       3061   4240   -     
NCTC8325_00071  FLBDJKNF_30300  45.9      98.5      4.1e-75    228       4236   5007   -     
NCTC8325_00070  FLBDJKNF_30310  42.9      96.3      1.35e-133  401       5000   6749   -     
NCTC8325_00069  FLBDJKNF_30320  37.4      89.6      3.13e-95   300       6745   8338   -     
NCTC8325_00068  FLBDJKNF_30330  34.5      92.6      1.07e-62   206       8334   9561   -     
NCTC8325_00067  FLBDJKNF_30340  33.2      97.4      3.9e-88    282       9560   11213  -     
NCTC8325_00066  FLBDJKNF_30350  59.8      99.1      2.1e-144   410       11212  12232  -     
NCTC8325_00065  FLBDJKNF_30360  53.5      95.1      5.22e-125  360       12263  13247  -     


NZ_FOZX01000003.region003
=========================
NZ_FOZX01000003
---------------
Cluster 8, score 12.2247:
Query           Subject         Identity  Coverage  E-value    Bitscore  Start  End    Strand
NCTC8325_00065  HLMOCMJP_16930  52.2      95.1      5.64e-122  352       2968   3952   +     
NCTC8325_00066  HLMOCMJP_16940  58.7      98.8      1.84e-143  407       4005   5001   +     
NCTC8325_00068  HLMOCMJP_16960  33.1      96.4      8e-62      203       6637   7861   +     
NCTC8325_00069  HLMOCMJP_16970  36.5      88.6      1.23e-90   287       8211   9732   +     
NCTC8325_00070  HLMOCMJP_16980  41.7      96.3      1.83e-130  393       9728   11474  +     
NCTC8325_00071  HLMOCMJP_16990  46.2      96.1      3.91e-73   223       11467  12241  +     
NCTC8325_00072  HLMOCMJP_17000  48        95.3      1.6e-131   382       12233  13412  +     
