feat_id,file_id,seq_id,start,end,strand,type,introns,parent_ids,source,score,phase,name,protocluster_number,tool,a_stool,product,cutoff,neighbourhood,category,contig_edge,core_location,detection_rule,candidate_cluster_number,kind,protoclusters,detection_rules,label,subregion_number,rules,subregion_numbers,candidate_cluster_numbers,region_number,locus_tag.x,dbxref,function,transl_table,gene_kind,gene_functions,sec_met_domain,protein_id,note,a_s_tool,prepeptide,peptide,molecular_weight,core_sequence,leader_sequence,alternative_weights,predicted_class,leader_location,monoisotopic_mass,inference,ec_number,nrps_pks,a_s_domain,detection,database,evalue,protein_start,domain_id,protein_end,domain_subtype,specificity,estimated_length,gap_type,linkage_evidence,geom_id,cluster_id,cluster_n,locus_tag.y,cluster_label
cds-AHDHMJBP_08530,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,9586,10923,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08530,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) Asn_synthase,biosynthetic-additional (smcogs)SMCOG1177:asparagine synthase (glutamine-hydrolyzing)(Score: 85.6%3b E-value: 5e-26)","Asn_synthase (E-value: 4e-32, bitscore:110.6, seeds: 78, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08530,cog_41,4,AHDHMJBP_08530,rare
cds-AHDHMJBP_08540,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,11429,11557,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08540,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08540,cog_56,3,AHDHMJBP_08540,rare
cds-AHDHMJBP_08550,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,11748,12530,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08550,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08550,cog_34,4,AHDHMJBP_08550,rare
cds-AHDHMJBP_08560,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,12679,13155,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08560,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08560,cog_40,4,AHDHMJBP_08560,rare
cds-AHDHMJBP_08570,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,13358,14071,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08570,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08570,cog_37,4,AHDHMJBP_08570,rare
cds-AHDHMJBP_08580,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,14260,15432,-,CDS,,,NA,NA,0,lcpA_1,NA,NA,NA,Cell wall biosynthesis protein LcpA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08580,COG:COG1316,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8NSD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08580,cog_35,4,AHDHMJBP_08580,rare
cds-AHDHMJBP_08590,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,15579,17030,-,CDS,,,NA,NA,0,lcpA_2,NA,NA,NA,Cell wall biosynthesis protein LcpA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08590,COG:COG1316,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8NSD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08590,cog_17,4,AHDHMJBP_08590,rare
cds-AHDHMJBP_08600,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,17733,18722,+,CDS,,,NA,NA,0,strE_1,NA,NA,NA,"dTDP-glucose 4,6-dehydratase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08600,COG:COG1088,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) NAD_binding_4,biosynthetic-additional(rule-based-clusters) Polysacc_synt_2,biosynthetic-additional(rule-based-clusters) RmlD_sub_bind,biosynthetic-additional (smcogs)SMCOG1010:NAD-dependent epimerase/dehydratase (Score:332.9%3b E-value: 3.5e-101)","NAD_binding_4 (E-value: 5.4e-17, bitscore:60.1, seeds: 102, tool: rule-based-clusters),Polysacc_synt_2 (E-value: 2.2e-17,bitscore: 61.5, seeds: 77, tool: rule-based-clusters),RmlD_sub_bind (E-value: 2.5e-15, bitscore:54.7, seeds: 37, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P29782",4.2.1.46,"Domain: NAD_binding_4 (4-180). E-value: 5.3e-19.Score: 60.1. Matches aSDomain:nrpspksdomains_AHDHMJBP_08600_NAD_binding_4.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08600,cog_36,4,AHDHMJBP_08600,rare
cds-AHDHMJBP_08610,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,18719,19669,+,CDS,,,NA,NA,0,rmlD,NA,NA,NA,dTDP-4-dehydrorhamnose reductase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08610,COG:COG1091,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) RmlD_sub_bind,biosynthetic-additional (smcogs)SMCOG1010:NAD-dependent epimerase/dehydratase (Score: 73.9%3bE-value: 2.6e-22)","RmlD_sub_bind (E-value: 1.5e-103,bitscore: 344.2, seeds: 37, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:A0QTF8",1.1.1.133,"Domain: NAD_binding_4 (75-175). E-value: 1e-10.Score: 33.0. Matches aSDomain:nrpspksdomains_AHDHMJBP_08610_NAD_binding_4.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08610,cog_18,4,AHDHMJBP_08610,rare
cds-AHDHMJBP_08620,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,20092,22632,+,CDS,,,NA,NA,0,ramC,NA,NA,NA,putative SapB synthase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08620,COG:COG0515,NA,11,biosynthetic,"biosynthetic (rule-based-clusters)lanthipeptide-class-iii: micKC,biosynthetic-additional(rule-based-clusters) Pkinase,biosynthetic-additional(rule-based-clusters) APH,regulatory (smcogs)SMCOG1030:serine/threonine protein kinase (Score: 80%3bE-value: 3.4e-24)","Pkinase (E-value: 3.4e-10, bitscore: 38.1,seeds: 54, tool: rule-based-clusters),micKC (E-value: 0.0, bitscore: 1016.5,seeds: 18, tool: rule-based-clusters),APH (E-value: 8.7e-07, bitscore: 27.4,seeds: 156, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O88037",2.7.-.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08620,cog_02,16,AHDHMJBP_08620,cog_02 (16)
cds-AHDHMJBP_08630,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,22756,22893,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08630,NA,NA,11,biosynthetic-additional,biosynthetic-additional (lanthipeptides)predicted lanthipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08630,cog_03,15,AHDHMJBP_08630,cog_03 (15)
cds-AHDHMJBP_08640,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,23263,24918,+,CDS,,,NA,NA,0,ramA_2,NA,NA,NA,ABC transporter ATP-binding protein RamA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08640,COG:COG1132,NA,11,transport,transport (smcogs) SMCOG1288:ABCtransporter related protein (Score: 311.3%3b E-value:2.2e-94),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O88039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08640,cog_01,32,AHDHMJBP_08640,cog_01 (32)
cds-AHDHMJBP_08650,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,24912,26630,+,CDS,,,NA,NA,0,btuD_4,NA,NA,NA,Vitamin B12 import ATP-binding protein BtuD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08650,NA,NA,11,transport,transport (smcogs) SMCOG1288:ABCtransporter related protein (Score: 204.4%3b E-value:5.1e-62),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01005",7.6.2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08650,cog_01,32,AHDHMJBP_08650,cog_01 (32)
cds-AHDHMJBP_08660,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,26617,27189,-,CDS,,,NA,NA,0,sigK_1,NA,NA,NA,ECF RNA polymerase sigma factor SigK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08660,COG:COG1595,NA,11,regulatory,"regulatory (smcogs) SMCOG1032:RNApolymerase, sigma-24 subunit, ECF subfamily (Score: 95.3%3bE-value: 5.5e-29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WGH7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08660,cog_39,4,AHDHMJBP_08660,rare
cds-AHDHMJBP_08670,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,27350,28210,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08670,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08670,cog_60,3,AHDHMJBP_08670,rare
cds-AHDHMJBP_08680,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,28759,29820,-,CDS,,,NA,NA,0,mshA_1,NA,NA,NA,D-inositol-3-phosphate glycosyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08680,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) Glycos_transf_1,biosynthetic-additional (smcogs)SMCOG1045:glycosyl transferase group 1 (Score: 123.1%3bE-value: 2.7e-37)","Glycos_transf_1 (E-value: 3e-15, bitscore:54.6, seeds: 63, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01695",2.4.1.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08680,cog_59,3,AHDHMJBP_08680,rare
cds-AHDHMJBP_08690,Erythreapeptin_6.1.1,NZ_CP059556.1.region003,29817,32330,-,CDS,,,NA,NA,NA,mshA_2,NA,NA,NA,D-inositol-3-phosphate glycosyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHDHMJBP_08690,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) Glycos_transf_1,biosynthetic-additional(rule-based-clusters) Glycos_transf_2,biosynthetic-additional (smcogs)SMCOG1045:glycosyl transferase group 1 (Score: 59.1%3bE-value: 7.6e-18)","Glycos_transf_1 (E-value: 1.2e-10,bitscore: 39.6, seeds: 63, tool: rule-based-clusters),Glycos_transf_2 (E-value: 1.3e-14,bitscore: 52.8, seeds: 256, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01695",2.4.1.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-AHDHMJBP_08690,cog_58,3,AHDHMJBP_08690,rare
cds-allorf_5303262_5303360,Erythreapeptin_6.1.1,NZ_PDBV01000001.1.region025,16015,16113,+,CDS,,,NA,NA,NA,allorf_5303262_5303360,NA,antismash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,allorf_5303262_5303360,NA,NA,1,biosynthetic-additional,biosynthetic-additional (lanthipeptides)predicted lanthipeptide,NA,allorf_5303262_5303360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-allorf_5303262_5303360,cog_169,1,allorf_5303262_5303360,rare
cds-BEKPJONA_12810,Erythreapeptin_6.1.1,NZ_JADDUE010000019.1.region001,207,812,+,CDS,,,NA,NA,0,sigK_1,NA,NA,NA,ECF RNA polymerase sigma factor SigK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEKPJONA_12810,COG:COG1595,NA,11,regulatory,"regulatory (smcogs) SMCOG1032:RNApolymerase, sigma-24 subunit, ECF subfamily (Score: 114.2%3bE-value: 8.5e-35)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WGH7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-BEKPJONA_12810,cog_39,4,BEKPJONA_12810,rare
cds-BEKPJONA_12820,Erythreapeptin_6.1.1,NZ_JADDUE010000019.1.region001,1043,1348,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEKPJONA_12820,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-BEKPJONA_12820,cog_152,1,BEKPJONA_12820,rare
cds-BEKPJONA_12830,Erythreapeptin_6.1.1,NZ_JADDUE010000019.1.region001,1452,2360,-,CDS,,,NA,NA,0,rmlD,NA,NA,NA,dTDP-4-dehydrorhamnose reductase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEKPJONA_12830,COG:COG1091,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) RmlD_sub_bind,biosynthetic-additional (smcogs)SMCOG1010:NAD-dependent epimerase/dehydratase (Score: 68.2%3bE-value: 1.3e-20)","RmlD_sub_bind (E-value: 1.7e-105,bitscore: 343.9, seeds: 37, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:A0QTF8",1.1.1.133,"Domain: NAD_binding_4 (63-163). E-value:4.1e-11. Score: 34.3. Matches aSDomain:nrpspksdomains_BEKPJONA_12830_NAD_binding_4.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-BEKPJONA_12830,cog_18,4,BEKPJONA_12830,rare
cds-BEKPJONA_12840,Erythreapeptin_6.1.1,NZ_JADDUE010000019.1.region001,2357,3349,-,CDS,,,NA,NA,0,strE_1,NA,NA,NA,"dTDP-glucose 4,6-dehydratase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BEKPJONA_12840,COG:COG1088,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) NAD_binding_4,biosynthetic-additional(rule-based-clusters) Polysacc_synt_2,biosynthetic-additional(rule-based-clusters) RmlD_sub_bind,biosynthetic-additional (smcogs)SMCOG1010:NAD-dependent epimerase/dehydratase (Score:342.7%3b E-value: 3.5e-104)","NAD_binding_4 (E-value: 1.4e-20, bitscore:65.2, seeds: 102, tool: rule-based-clusters),Polysacc_synt_2 (E-value: 9.3e-22,bitscore: 69.1, seeds: 77, tool: rule-based-clusters),RmlD_sub_bind (E-value: 7.9e-19, bitscore:59.5, seeds: 37, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P29782",4.2.1.46,"Domain: NAD_binding_4 (8-186). E-value: 1.5e-20.Score: 65.2. Matches aSDomain:nrpspksdomains_BEKPJONA_12840_NAD_binding_4.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-BEKPJONA_12840,cog_36,4,BEKPJONA_12840,rare
