,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
BGC0000999,16.0,True,"(1337.1, 1616.7)",BGC0000999<br>NRP;Polyketide<br>heat-stable antifungal factor,MIBIG (KnownClusterBlast),1337.1,1616.7,0.40
NZ_RBXX01000002.1.region021,17.0,True,"(1336.8, 1362.2)","P1<br>NZ_RBXX01000002.1.region021<br>['NRPS', 'NRPS-like', 'PKS-like', 'T1PKS']<br>echinomycin<br>0.33",BGC,1336.8,1362.2,0.40
BGC0000339,17.0,True,"(1280.7, 1299.1)",BGC0000339<br>NRP<br>echinomycin,MIBIG (KnownClusterBlast),1280.7,1299.1,0.40
NZ_RBXX01000002.1.region022,18.0,True,"(1265.5, 2605.1)",P1<br>NZ_RBXX01000002.1.region022<br>['terpene']<br>brasilicardin A<br>0.38,BGC,1265.5,2605.1,0.40
BGC0000632,18.0,True,"(1174.8, 2601.1)",BGC0000632<br>Terpene;Saccharide<br>brasilicardin A,MIBIG (KnownClusterBlast),1174.8,2601.1,0.40
NZ_RBXX01000002.1.region023,19.0,True,"(1537.8, 565.71)","P1<br>NZ_RBXX01000002.1.region023<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,1537.8,565.71,0.40
BGC0000998,19.0,True,"(1521.7, 613.78)",BGC0000998<br>NRP;Polyketide<br>guadinomine;guadinomine B;guadinomic acid,MIBIG (KnownClusterBlast),1521.7,613.78,0.40
NZ_FOUP01000033.1.region001,6.0,True,"(1901.9, 3028.6)",P1<br>NZ_FOUP01000033.1.region001<br>['terpene']<br>tetronomycin<br>0.06,BGC,1901.9,3028.6,0.40
NZ_FOUP01000003.1.region001,1.0,True,"(1809.5, 1737.6)",P1<br>NZ_FOUP01000003.1.region001<br>['NRPS']<br>RP-1776<br>0.04,BGC,1809.5,1737.6,0.40
NZ_FOUP01000002.1.region001,5.0,True,"(2296.2, 754.05)",P1<br>NZ_FOUP01000002.1.region001<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,2296.2,754.05,0.40
NZ_FOUP01000002.1.region002,4.0,True,"(1474.4, 1642.2)",P1<br>NZ_FOUP01000002.1.region002<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1474.4,1642.2,0.40
NZ_FOUP01000001.1.region001,13.0,True,"(1700.2, 2296.4)","P1<br>NZ_FOUP01000001.1.region001<br>['T3PKS', 'CDPS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,1700.2,2296.4,0.40
NZ_FOUP01000001.1.region002,12.0,True,"(2233.9, 2309.5)",P1<br>NZ_FOUP01000001.1.region002<br>['terpene']<br>neoantimycin<br>0.20,BGC,2233.9,2309.5,0.40
NZ_FOUP01000001.1.region003,11.0,True,"(1001.9, 2841.0)",P1<br>NZ_FOUP01000001.1.region003<br>['CDPS']<br>meridamycin<br>0.05,BGC,1001.9,2841.0,0.40
NZ_FOUP01000001.1.region004,10.0,True,"(1688.5, 1074.4)",P1<br>NZ_FOUP01000001.1.region004<br>['terpene']<br>hopene<br>0.46,BGC,1688.5,1074.4,0.40
NZ_FOUP01000001.1.region005,9.0,True,"(1873.4, 1055.3)",P1<br>NZ_FOUP01000001.1.region005<br>['terpene']<br>geosmin<br>1.00,BGC,1873.4,1055.3,0.40
NZ_FOUP01000001.1.region006,14.0,True,"(2621.9, 1120.2)",P1<br>NZ_FOUP01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,2621.9,1120.2,0.40
NZ_FOUP01000001.1.region007,15.0,True,"(2109.0, 988.01)",P1<br>NZ_FOUP01000001.1.region007<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,2109.0,988.01,0.40
NZ_FOUP01000028.1.region001,18.0,True,"(1264.5, 2559.9)",P1<br>NZ_FOUP01000028.1.region001<br>['terpene']<br>brasilicardin A<br>0.38,BGC,1264.5,2559.9,0.40
NZ_FOUP01000012.1.region001,2.0,True,"(1383.0, 781.34)",P1<br>NZ_FOUP01000012.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,1383.0,781.34,0.40
NZ_FOUP01000013.1.region001,8.0,True,"(1134.1, 1748.8)","P1<br>NZ_FOUP01000013.1.region001<br>['lanthipeptide-class-iv', 'indole']<br>Sch-47554 / Sch-47555<br>0.07",BGC,1134.1,1748.8,0.40
NZ_FOUP01000013.1.region002,7.0,True,"(2523.3, 1927.5)","P1<br>NZ_FOUP01000013.1.region002<br>['T1PKS', 'T2PKS']<br>xantholipin<br>0.08",BGC,2523.3,1927.5,0.40
NZ_FOUP01000007.1.region001,17.0,True,"(1315.7, 1373.6)","P1<br>NZ_FOUP01000007.1.region001<br>['T1PKS', 'PKS-like', 'NRPS-like', 'NRPS']<br>echinomycin<br>0.33",BGC,1315.7,1373.6,0.40
NZ_FOUP01000007.1.region002,16.0,True,"(1420.3, 1597.8)","P1<br>NZ_FOUP01000007.1.region002<br>['RiPP-like', 'NRPS', 'T1PKS']<br>pactamides<br>0.33",BGC,1420.3,1597.8,0.40
BGC0001726,16.0,True,"(1325.5, 1628.4)",BGC0001726<br>NRP;Polyketide<br>pactamides,MIBIG (KnownClusterBlast),1325.5,1628.4,0.40
NZ_FOUP01000014.1.region001,19.0,True,"(1471.4, 619.86)","P1<br>NZ_FOUP01000014.1.region001<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,1471.4,619.86,0.40
NZ_FOUP01000011.1.region001,0.0,True,"(1811.9, 501.04)",P1<br>NZ_FOUP01000011.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,1811.9,501.04,0.40
NZ_FOUP01000018.1.region001,3.0,True,"(1096.9, 599.47)",P1<br>NZ_FOUP01000018.1.region001<br>['lassopeptide']<br>SSV-2083<br>0.18,BGC,1096.9,599.47,0.40
BGC0000579,3.0,True,"(1159.5, 625.07)",BGC0000579<br>RiPP<br>SSV-2083,MIBIG (KnownClusterBlast),1159.5,625.07,0.40
NZ_VIWX01000001.1.region001,8.0,True,"(1137.9, 1715.6)",P5<br>NZ_VIWX01000001.1.region001<br>['indole']<br>Sch-47554 / Sch-47555<br>0.05,BGC,1137.9,1715.6,0.40
NZ_VIWX01000001.1.region002,20.0,True,"(1174.6, 1075.4)",P5<br>NZ_VIWX01000001.1.region002<br>['terpene']<br>isorenieratene<br>0.71,BGC,1174.6,1075.4,0.40
BGC0000664,20.0,True,"(1109.4, 1000.2)",BGC0000664<br>Terpene<br>isorenieratene,MIBIG (KnownClusterBlast),1109.4,1000.2,0.40
NZ_VIWX01000001.1.region005,18.0,True,"(1213.7, 2551.9)",P5<br>NZ_VIWX01000001.1.region005<br>['terpene']<br>brasilicardin A<br>0.31,BGC,1213.7,2551.9,0.40
NZ_VIWX01000001.1.region006,14.0,True,"(2534.6, 1130.0)",P5<br>NZ_VIWX01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,2534.6,1130.0,0.40
NZ_VIWX01000001.1.region008,12.0,True,"(2236.1, 1455.4)",P5<br>NZ_VIWX01000001.1.region008<br>['terpene']<br>SF2575<br>0.07,BGC,2236.1,1455.4,0.40
BGC0000269,12.0,True,"(2139.1, 1459.9)",BGC0000269<br>Polyketide;Saccharide<br>SF2575,MIBIG (KnownClusterBlast),2139.1,1459.9,0.40
NZ_VIWX01000001.1.region009,21.0,True,"(770.9, 2690.6)",P5<br>NZ_VIWX01000001.1.region009<br>['lassopeptide']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40,BGC,770.9,2690.6,0.40
BGC0000519,21.0,True,"(693.07, 2706.3)",BGC0000519<br>RiPP<br>labyrinthopeptin A2;labyrinthopeptin A1;labyrinthopeptin A3,MIBIG (KnownClusterBlast),693.07,2706.3,0.40
NZ_VIWX01000002.1.region002,22.0,True,"(1553.1, 1652.0)",P5<br>NZ_VIWX01000002.1.region002<br>['T1PKS']<br>branched-chain fatty acids<br>1.25,BGC,1553.1,1652.0,0.40
BGC0001534,22.0,True,"(1566.1, 1705.2)",BGC0001534<br>Other<br>branched-chain fatty acids,MIBIG (KnownClusterBlast),1566.1,1705.2,0.40
NZ_VIWX01000002.1.region003,23.0,True,"(822.71, 1383.3)",P5<br>NZ_VIWX01000002.1.region003<br>['arylpolyene']<br>calicheamicin<br>0.03,BGC,822.71,1383.3,0.40
BGC0000033,23.0,True,"(790.81, 1313.4)",BGC0000033<br>Polyketide<br>calicheamicin,MIBIG (KnownClusterBlast),790.81,1313.4,0.40
NZ_VIWX01000002.1.region004,24.0,True,"(1537.2, 1586.2)","P5<br>NZ_VIWX01000002.1.region004<br>['T1PKS', 'T3PKS', 'NRPS', 'NRPS-like']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1537.2,1586.2,0.40
BGC0001807,24.0,True,"(1532.9, 1664.0)",BGC0001807<br>NRP;Polyketide<br>totopotensamide A;totopotensamide B,MIBIG (KnownClusterBlast),1532.9,1664.0,0.40
NZ_VIWX01000002.1.region005,25.0,True,"(1933.4, 1861.5)",P5<br>NZ_VIWX01000002.1.region005<br>['siderophore']<br>ficellomycin<br>0.07,BGC,1933.4,1861.5,0.40
BGC0001593,25.0,True,"(2012.7, 1915.8)",BGC0001593<br>NRP<br>ficellomycin,MIBIG (KnownClusterBlast),2012.7,1915.8,0.40
NZ_VIWX01000002.1.region006,12.0,True,"(2299.3, 2490.2)",P5<br>NZ_VIWX01000002.1.region006<br>['terpene']<br>kanamycin<br>0.01,BGC,2299.3,2490.2,0.40
BGC0000703,12.0,True,"(2270.3, 2564.4)",BGC0000703<br>Saccharide<br>kanamycin,MIBIG (KnownClusterBlast),2270.3,2564.4,0.40
NZ_VIWX01000002.1.region007,10.0,True,"(1721.2, 1082.7)",P5<br>NZ_VIWX01000002.1.region007<br>['terpene']<br>hopene<br>0.38,BGC,1721.2,1082.7,0.40
NZ_VIWX01000002.1.region008,9.0,True,"(1859.9, 1073.0)",P5<br>NZ_VIWX01000002.1.region008<br>['terpene']<br>geosmin<br>1.00,BGC,1859.9,1073.0,0.40
NZ_VIWX01000004.1.region001,26.0,True,"(1422.9, 1527.2)","P5<br>NZ_VIWX01000004.1.region001<br>['RiPP-like', 'T1PKS', 'NRPS-like']<br>nystatin<br>0.74",BGC,1422.9,1527.2,0.40
BGC0001709,26.0,True,"(1403.7, 1467.9)",BGC0001709<br>Polyketide<br>nystatin,MIBIG (KnownClusterBlast),1403.7,1467.9,0.40
NZ_VIWX01000005.1.region001,1.0,True,"(1766.8, 1707.1)",P5<br>NZ_VIWX01000005.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1766.8,1707.1,0.40
BGC0002014,1.0,True,"(1758.5, 1727.9)",BGC0002014<br>NRP;Polyketide<br>pepticinnamin E,MIBIG (KnownClusterBlast),1758.5,1727.9,0.40
NZ_VIWX01000006.1.region001,27.0,True,"(2299.8, 2160.9)","P5<br>NZ_VIWX01000006.1.region001<br>['NRPS', 'T1PKS']<br>antimycin<br>0.94",BGC,2299.8,2160.9,0.40
BGC0001455,27.0,True,"(2365.4, 2118.0)",BGC0001455<br>NRP;Polyketide<br>antimycin,MIBIG (BiG-SCAPE),2365.4,2118.0,0.40
NZ_VIWX01000007.1.region001,2.0,True,"(1356.4, 708.0)",P5<br>NZ_VIWX01000007.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,1356.4,708.0,0.40
NZ_JAGPXE010000001.1.region001,27.0,True,"(2342.5, 2185.7)","P5<br>NZ_JAGPXE010000001.1.region001<br>['T1PKS', 'NRPS']<br>antimycin<br>0.88",BGC,2342.5,2185.7,0.40
NZ_JAGPXE010000011.1.region003,24.0,True,"(1531.6, 1686.5)","P5<br>NZ_JAGPXE010000011.1.region003<br>['NRPS-like', 'NRPS', 'T3PKS', 'T1PKS']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1531.6,1686.5,0.40
NZ_JAGPXE010000015.1.region001,14.0,True,"(2569.8, 1144.2)",P5<br>NZ_JAGPXE010000015.1.region001<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,2569.8,1144.2,0.40
NZ_JAGPXE010000016.1.region001,2.0,True,"(1315.4, 786.65)",P5<br>NZ_JAGPXE010000016.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,1315.4,786.65,0.40
NZ_JAGPXE010000017.1.region001,8.0,True,"(987.87, 1766.2)",P5<br>NZ_JAGPXE010000017.1.region001<br>['indole']<br>fortimicin<br>0.09,BGC,987.87,1766.2,0.40
BGC0000695,8.0,True,"(955.53, 1721.6)",BGC0000695<br>Saccharide<br>fortimicin,MIBIG (KnownClusterBlast),955.53,1721.6,0.40
NZ_JAGPXE010000018.1.region001,20.0,True,"(1137.8, 1061.4)",P5<br>NZ_JAGPXE010000018.1.region001<br>['terpene']<br>isorenieratene<br>0.57,BGC,1137.8,1061.4,0.40
NZ_JAGPXE010000019.1.region001,18.0,True,"(1290.4, 2483.4)",P5<br>NZ_JAGPXE010000019.1.region001<br>['terpene']<br>atolypene A / atolypene B<br>0.18,BGC,1290.4,2483.4,0.40
BGC0002007,18.0,True,"(1351.5, 2432.8)",BGC0002007<br>Terpene<br>atolypene A;atolypene B,MIBIG (KnownClusterBlast),1351.5,2432.8,0.40
NZ_JAGPXE010000002.1.region001,28.0,True,"(723.74, 1134.4)",P5<br>NZ_JAGPXE010000002.1.region001<br>['siderophore']<br>staphylobactin<br>0.25,BGC,723.74,1134.4,0.40
BGC0000943,28.0,True,"(649.33, 1097.7)",BGC0000943<br>Other<br>staphyloferrin B,MIBIG (KnownClusterBlast),649.33,1097.7,0.40
NZ_JAGPXE010000002.1.region002,29.0,True,"(1405.1, 1742.1)",P5<br>NZ_JAGPXE010000002.1.region002<br>['lanthipeptide-class-iii']<br>fusaricidin B<br>0.25,BGC,1405.1,1742.1,0.40
BGC0001152,29.0,True,"(1348.6, 1661.2)",BGC0001152<br>NRP;Polyketide<br>fusaricidin B,MIBIG (KnownClusterBlast),1348.6,1661.2,0.40
NZ_JAGPXE010000002.1.region003,30.0,True,"(325.37, 1168.4)",P5<br>NZ_JAGPXE010000002.1.region003<br>['betalactone']<br>macrotetrolide<br>0.33,BGC,325.37,1168.4,0.40
BGC0000244,30.0,True,"(265.8, 1128.0)",BGC0000244<br>Polyketide<br>nonactin;monactin;dinactin;trinactin;tetranactin,MIBIG (KnownClusterBlast),265.8,1128.0,0.40
NZ_JAGPXE010000003.1.region003,10.0,True,"(1703.6, 1045.4)",P5<br>NZ_JAGPXE010000003.1.region003<br>['terpene']<br>hopene<br>0.38,BGC,1703.6,1045.4,0.40
NZ_JAGPXE010000003.1.region004,9.0,True,"(1912.6, 1085.5)",P5<br>NZ_JAGPXE010000003.1.region004<br>['terpene']<br>geosmin<br>1.00,BGC,1912.6,1085.5,0.40
NZ_JAGPXE010000004.1.region001,31.0,True,"(2704.2, 2169.4)",P5<br>NZ_JAGPXE010000004.1.region001<br>['arylpolyene']<br>saquayamycin A<br>0.05,BGC,2704.2,2169.4,0.40
BGC0001769,31.0,True,"(2631.3, 2119.2)",BGC0001769<br>Polyketide<br>saquayamycin A,MIBIG (KnownClusterBlast),2631.3,2119.2,0.40
NZ_JAGPXE010000004.1.region003,32.0,True,"(2065.4, 238.43)",P5<br>NZ_JAGPXE010000004.1.region003<br>['lanthipeptide-class-iv']<br>venezuelin<br>0.50,BGC,2065.4,238.43,0.40
BGC0000563,32.0,True,"(2005.8, 198.0)",BGC0000563<br>RiPP<br>venezuelin,MIBIG (KnownClusterBlast),2005.8,198.0,0.40
NZ_JAGPXE010000008.1.region001,1.0,True,"(1737.7, 1679.5)",P5<br>NZ_JAGPXE010000008.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1737.7,1679.5,0.40
NZ_JAGPXE010000009.1.region002,12.0,True,"(2219.6, 1464.6)",P5<br>NZ_JAGPXE010000009.1.region002<br>['terpene']<br>SF2575<br>0.07,BGC,2219.6,1464.6,0.40
NZ_CP069353.1.region001,33.0,True,"(1684.8, 1569.5)","P8<br>NZ_CP069353.1.region001<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07",BGC,1684.8,1569.5,0.40
BGC0001213,33.0,True,"(1647.5, 1503.9)",BGC0001213<br>Polyketide<br>nataxazole,MIBIG (KnownClusterBlast),1647.5,1503.9,0.40
NZ_CP069353.1.region002,2.0,True,"(1430.4, 822.46)",P8<br>NZ_CP069353.1.region002<br>['ectoine']<br>ectoine<br>1.00,BGC,1430.4,822.46,0.40
NZ_CP069353.1.region004,34.0,True,"(1995.6, 682.48)",P8<br>NZ_CP069353.1.region004<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>1.00,BGC,1995.6,682.48,0.40
BGC0000055,34.0,True,"(1901.5, 656.99)",BGC0000055<br>Polyketide;Saccharide<br>erythromycin A;erythromycin B;erythromycin C;erythromycin D,MIBIG (BiG-SCAPE),1901.5,656.99,0.40
NZ_CP069353.1.region005,35.0,True,"(1239.6, 1988.1)","P8<br>NZ_CP069353.1.region005<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89",BGC,1239.6,1988.1,0.40
BGC0000285,35.0,True,"(1240.4, 2070.9)","BGC0000285<br>Polyketide;Saccharide<br>flaviolin;flaviolin rhamnoside;3,3'-diflaviolin",MIBIG (BiG-SCAPE),1240.4,2070.9,0.40
NZ_CP069353.1.region006,1.0,True,"(1906.3, 1689.3)",P8<br>NZ_CP069353.1.region006<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12,BGC,1906.3,1689.3,0.40
BGC0001214,1.0,True,"(1956.3, 1765.2)",BGC0001214<br>NRP<br>marformycin A;marformycin B;marformycin C;marformycin D;marformycin E;marformycin F,MIBIG (KnownClusterBlast),1956.3,1765.2,0.40
NZ_CP069353.1.region007,8.0,True,"(917.11, 1625.8)",P8<br>NZ_CP069353.1.region007<br>['indole']<br>fortimicin<br>0.07,BGC,917.11,1625.8,0.40
NZ_CP069353.1.region008,12.0,True,"(2073.0, 1446.6)",P8<br>NZ_CP069353.1.region008<br>['terpene']<br>SF2575<br>0.04,BGC,2073.0,1446.6,0.40
NZ_CP069353.1.region009,36.0,True,"(550.48, 429.1)",P8<br>NZ_CP069353.1.region009<br>['T1PKS']<br>FR-900520<br>0.18,BGC,550.48,429.1,0.40
BGC0000994,36.0,True,"(492.01, 378.0)",BGC0000994<br>NRP;Polyketide<br>FR-900520,MIBIG (KnownClusterBlast),492.01,378.0,0.40
NZ_CP069353.1.region011,37.0,True,"(563.94, 692.85)",P8<br>NZ_CP069353.1.region011<br>['T1PKS']<br>esmeraldin<br>0.08,BGC,563.94,692.85,0.40
BGC0000935,37.0,True,"(578.41, 621.92)",BGC0000935<br>Other;Polyketide<br>esmeraldin,MIBIG (KnownClusterBlast),578.41,621.92,0.40
NZ_CP069353.1.region012,38.0,True,"(2933.2, 2820.1)","P8<br>NZ_CP069353.1.region012<br>['NRPS', 'T1PKS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12",BGC,2933.2,2820.1,0.40
BGC0001349,38.0,True,"(2850.2, 2838.0)",BGC0001349<br>NRP;Polyketide<br>heronamide A;heronamide B;heronamide C;heronamide D;heronamide E;heronamide F,MIBIG (KnownClusterBlast),2850.2,2838.0,0.40
NZ_CP069353.1.region013,39.0,True,"(520.48, 2259.1)",P8<br>NZ_CP069353.1.region013<br>['NRPS']<br>amychelin<br>0.44,BGC,520.48,2259.1,0.40
BGC0000300,39.0,True,"(462.01, 2208.0)",BGC0000300<br>NRP<br>amychelin,MIBIG (KnownClusterBlast),462.01,2208.0,0.40
NZ_CP069353.1.region014,40.0,True,"(2199.5, 1191.4)","P8<br>NZ_CP069353.1.region014<br>['T1PKS', 'NRPS-like']<br>microansamycin<br>0.46",BGC,2199.5,1191.4,0.40
BGC0001666,40.0,True,"(2093.3, 1190.3)",BGC0001666<br>Polyketide<br>microansamycin,MIBIG (KnownClusterBlast),2093.3,1190.3,0.40
NZ_CP069353.1.region016,41.0,True,"(1531.9, 1443.3)","P8<br>NZ_CP069353.1.region016<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00",BGC,1531.9,1443.3,0.40
BGC0000349,41.0,True,"(1500.9, 1378.4)",BGC0000349<br>NRP<br>erythrochelin,MIBIG (KnownClusterBlast),1500.9,1378.4,0.40
NZ_CP069353.1.region017,9.0,True,"(1896.5, 904.35)",P8<br>NZ_CP069353.1.region017<br>['terpene']<br>geosmin<br>1.00,BGC,1896.5,904.35,0.40
NZ_CP069353.1.region018,1.0,True,"(1998.1, 1498.6)",P8<br>NZ_CP069353.1.region018<br>['NAPAA']<br>actinomycin D<br>0.07,BGC,1998.1,1498.6,0.40
BGC0000296,1.0,True,"(1950.4, 1570.5)",BGC0000296<br>NRP<br>actinomycin D,MIBIG (KnownClusterBlast),1950.4,1570.5,0.40
NZ_CP069353.1.region019,20.0,True,"(1144.6, 936.21)",P8<br>NZ_CP069353.1.region019<br>['terpene']<br>isorenieratene<br>0.57,BGC,1144.6,936.21,0.40
NZ_CP069353.1.region020,12.0,True,"(2288.4, 2315.1)",P8<br>NZ_CP069353.1.region020<br>['terpene']<br>neoantimycin<br>0.20,BGC,2288.4,2315.1,0.40
NZ_CP069353.1.region021,15.0,True,"(2055.7, 919.61)",P8<br>NZ_CP069353.1.region021<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,2055.7,919.61,0.40
