,group,cluster,pos,text,node_trace,x_pos,y_pos,cutoff
BGC0001919,12.0,True,"(2525.9, 1613.3)",BGC0001919<br>NRP;Polyketide<br>neoantimycin,MIBIG (KnownClusterBlast),2525.9,1613.3,0.30
NZ_RBXX01000002.1.region017,13.0,True,"(2715.6, 1208.9)","P1<br>NZ_RBXX01000002.1.region017<br>['CDPS', 'T3PKS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,2715.6,1208.9,0.30
BGC0001077,13.0,True,"(2624.3, 1218.1)",BGC0001077<br>Polyketide<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones,MIBIG (KnownClusterBlast),2624.3,1218.1,0.30
NZ_RBXX01000002.1.region018,14.0,True,"(1875.8, 2465.2)",P1<br>NZ_RBXX01000002.1.region018<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,1875.8,2465.2,0.30
BGC0001100,14.0,True,"(1786.5, 2401.8)",BGC0001100<br>NRP;Polyketide<br>lankacidin C,MIBIG (KnownClusterBlast),1786.5,2401.8,0.30
NZ_RBXX01000002.1.region019,15.0,True,"(1266.7, 2216.3)",P1<br>NZ_RBXX01000002.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,1266.7,2216.3,0.30
BGC0000659,15.0,True,"(1346.7, 2154.1)",BGC0000659<br>Terpene<br>2-methylisoborneol,MIBIG (BiG-SCAPE),1346.7,2154.1,0.30
NZ_RBXX01000002.1.region020,16.0,True,"(1786.8, 1521.9)","P1<br>NZ_RBXX01000002.1.region020<br>['T1PKS', 'NRPS', 'RiPP-like']<br>heat-stable antifungal factor<br>0.38",BGC,1786.8,1521.9,0.30
BGC0000999,16.0,True,"(1834.1, 1615.6)",BGC0000999<br>NRP;Polyketide<br>heat-stable antifungal factor,MIBIG (KnownClusterBlast),1834.1,1615.6,0.30
NZ_RBXX01000002.1.region021,17.0,True,"(1893.1, 1258.8)","P1<br>NZ_RBXX01000002.1.region021<br>['NRPS', 'NRPS-like', 'PKS-like', 'T1PKS']<br>echinomycin<br>0.33",BGC,1893.1,1258.8,0.30
BGC0000339,17.0,True,"(1935.9, 1194.5)",BGC0000339<br>NRP<br>echinomycin,MIBIG (KnownClusterBlast),1935.9,1194.5,0.30
NZ_RBXX01000002.1.region022,18.0,True,"(2560.0, 2703.8)",P1<br>NZ_RBXX01000002.1.region022<br>['terpene']<br>brasilicardin A<br>0.38,BGC,2560.0,2703.8,0.30
BGC0000632,18.0,True,"(2490.9, 2651.2)",BGC0000632<br>Terpene;Saccharide<br>brasilicardin A,MIBIG (KnownClusterBlast),2490.9,2651.2,0.30
NZ_RBXX01000002.1.region023,19.0,True,"(739.76, 1999.7)","P1<br>NZ_RBXX01000002.1.region023<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,739.76,1999.7,0.30
BGC0000998,19.0,True,"(723.73, 2047.8)",BGC0000998<br>NRP;Polyketide<br>guadinomine;guadinomine B;guadinomic acid,MIBIG (KnownClusterBlast),723.73,2047.8,0.30
NZ_FOUP01000033.1.region001,6.0,True,"(3060.9, 929.57)",P1<br>NZ_FOUP01000033.1.region001<br>['terpene']<br>tetronomycin<br>0.06,BGC,3060.9,929.57,0.30
NZ_FOUP01000003.1.region001,1.0,True,"(1348.3, 1304.8)",P1<br>NZ_FOUP01000003.1.region001<br>['NRPS']<br>RP-1776<br>0.04,BGC,1348.3,1304.8,0.30
NZ_FOUP01000002.1.region001,5.0,True,"(2717.2, 1488.1)",P1<br>NZ_FOUP01000002.1.region001<br>['amglyccycl']<br>cetoniacytone A<br>0.45,BGC,2717.2,1488.1,0.30
NZ_FOUP01000002.1.region002,4.0,True,"(1754.4, 1491.0)",P1<br>NZ_FOUP01000002.1.region002<br>['T1PKS']<br>maduropeptin<br>0.28,BGC,1754.4,1491.0,0.30
NZ_FOUP01000001.1.region001,13.0,True,"(2692.1, 1259.4)","P1<br>NZ_FOUP01000001.1.region001<br>['T3PKS', 'CDPS']<br>alkyl-O-dihydrogeranyl-methoxyhydroquinones<br>0.57",BGC,2692.1,1259.4,0.30
NZ_FOUP01000001.1.region002,12.0,True,"(2521.5, 1719.0)",P1<br>NZ_FOUP01000001.1.region002<br>['terpene']<br>neoantimycin<br>0.20,BGC,2521.5,1719.0,0.30
NZ_FOUP01000001.1.region003,11.0,True,"(479.9, 1241.0)",P1<br>NZ_FOUP01000001.1.region003<br>['CDPS']<br>meridamycin<br>0.05,BGC,479.9,1241.0,0.30
NZ_FOUP01000001.1.region004,10.0,True,"(1049.6, 1902.2)",P1<br>NZ_FOUP01000001.1.region004<br>['terpene']<br>hopene<br>0.46,BGC,1049.6,1902.2,0.30
NZ_FOUP01000001.1.region005,9.0,True,"(1248.4, 1992.7)",P1<br>NZ_FOUP01000001.1.region005<br>['terpene']<br>geosmin<br>1.00,BGC,1248.4,1992.7,0.30
NZ_FOUP01000001.1.region006,14.0,True,"(1813.5, 2482.7)",P1<br>NZ_FOUP01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.13,BGC,1813.5,2482.7,0.30
NZ_FOUP01000001.1.region007,15.0,True,"(1278.2, 2238.1)",P1<br>NZ_FOUP01000001.1.region007<br>['terpene']<br>2-methylisoborneol<br>1.00,BGC,1278.2,2238.1,0.30
NZ_FOUP01000028.1.region001,18.0,True,"(2563.3, 2644.3)",P1<br>NZ_FOUP01000028.1.region001<br>['terpene']<br>brasilicardin A<br>0.38,BGC,2563.3,2644.3,0.30
NZ_FOUP01000012.1.region001,2.0,True,"(2356.9, 660.15)",P1<br>NZ_FOUP01000012.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2356.9,660.15,0.30
NZ_FOUP01000013.1.region001,8.0,True,"(2261.6, 1425.2)","P1<br>NZ_FOUP01000013.1.region001<br>['lanthipeptide-class-iv', 'indole']<br>Sch-47554 / Sch-47555<br>0.07",BGC,2261.6,1425.2,0.30
NZ_FOUP01000013.1.region002,7.0,True,"(3014.5, 2561.7)","P1<br>NZ_FOUP01000013.1.region002<br>['T1PKS', 'T2PKS']<br>xantholipin<br>0.08",BGC,3014.5,2561.7,0.30
NZ_FOUP01000007.1.region001,17.0,True,"(1916.8, 1277.5)","P1<br>NZ_FOUP01000007.1.region001<br>['T1PKS', 'PKS-like', 'NRPS-like', 'NRPS']<br>echinomycin<br>0.33",BGC,1916.8,1277.5,0.30
NZ_FOUP01000007.1.region002,16.0,True,"(1751.4, 1552.6)","P1<br>NZ_FOUP01000007.1.region002<br>['RiPP-like', 'NRPS', 'T1PKS']<br>pactamides<br>0.33",BGC,1751.4,1552.6,0.30
BGC0001726,16.0,True,"(1814.9, 1643.1)",BGC0001726<br>NRP;Polyketide<br>pactamides,MIBIG (KnownClusterBlast),1814.9,1643.1,0.30
NZ_FOUP01000014.1.region001,19.0,True,"(673.43, 2053.9)","P1<br>NZ_FOUP01000014.1.region001<br>['LAP', 'NRPS']<br>guadinomine<br>0.08",BGC,673.43,2053.9,0.30
NZ_FOUP01000011.1.region001,0.0,True,"(3002.9, 1908.0)",P1<br>NZ_FOUP01000011.1.region001<br>['NRPS']<br>azicemicin B<br>0.18,BGC,3002.9,1908.0,0.30
NZ_FOUP01000018.1.region001,3.0,True,"(688.93, 1831.5)",P1<br>NZ_FOUP01000018.1.region001<br>['lassopeptide']<br>SSV-2083<br>0.18,BGC,688.93,1831.5,0.30
BGC0000579,3.0,True,"(751.5, 1857.1)",BGC0000579<br>RiPP<br>SSV-2083,MIBIG (KnownClusterBlast),751.5,1857.1,0.30
NZ_VIWX01000001.1.region001,8.0,True,"(2347.0, 1538.0)",P5<br>NZ_VIWX01000001.1.region001<br>['indole']<br>Sch-47554 / Sch-47555<br>0.05,BGC,2347.0,1538.0,0.30
NZ_VIWX01000001.1.region002,20.0,True,"(1958.0, 874.53)",P5<br>NZ_VIWX01000001.1.region002<br>['terpene']<br>isorenieratene<br>0.71,BGC,1958.0,874.53,0.30
BGC0000664,20.0,True,"(1892.4, 799.77)",BGC0000664<br>Terpene<br>isorenieratene,MIBIG (KnownClusterBlast),1892.4,799.77,0.30
NZ_VIWX01000001.1.region005,18.0,True,"(2551.4, 2586.9)",P5<br>NZ_VIWX01000001.1.region005<br>['terpene']<br>brasilicardin A<br>0.31,BGC,2551.4,2586.9,0.30
NZ_VIWX01000001.1.region006,14.0,True,"(1716.0, 2480.6)",P5<br>NZ_VIWX01000001.1.region006<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,1716.0,2480.6,0.30
NZ_VIWX01000001.1.region008,21.0,True,"(962.81, 1495.0)",P5<br>NZ_VIWX01000001.1.region008<br>['terpene']<br>SF2575<br>0.07,BGC,962.81,1495.0,0.30
BGC0000269,21.0,True,"(1011.1, 1573.8)",BGC0000269<br>Polyketide;Saccharide<br>SF2575,MIBIG (KnownClusterBlast),1011.1,1573.8,0.30
NZ_VIWX01000001.1.region009,22.0,True,"(1740.9, 484.62)",P5<br>NZ_VIWX01000001.1.region009<br>['lassopeptide']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40,BGC,1740.9,484.62,0.30
BGC0000519,22.0,True,"(1663.1, 500.25)",BGC0000519<br>RiPP<br>labyrinthopeptin A2;labyrinthopeptin A1;labyrinthopeptin A3,MIBIG (KnownClusterBlast),1663.1,500.25,0.30
NZ_VIWX01000002.1.region002,23.0,True,"(1652.3, 1447.7)",P5<br>NZ_VIWX01000002.1.region002<br>['T1PKS']<br>branched-chain fatty acids<br>1.25,BGC,1652.3,1447.7,0.30
BGC0001534,23.0,True,"(1624.3, 1416.1)",BGC0001534<br>Other<br>branched-chain fatty acids,MIBIG (KnownClusterBlast),1624.3,1416.1,0.30
NZ_VIWX01000002.1.region003,24.0,True,"(2803.7, 2154.3)",P5<br>NZ_VIWX01000002.1.region003<br>['arylpolyene']<br>calicheamicin<br>0.03,BGC,2803.7,2154.3,0.30
BGC0000033,24.0,True,"(2771.8, 2084.4)",BGC0000033<br>Polyketide<br>calicheamicin,MIBIG (KnownClusterBlast),2771.8,2084.4,0.30
NZ_VIWX01000002.1.region004,25.0,True,"(1692.9, 1477.3)","P5<br>NZ_VIWX01000002.1.region004<br>['T1PKS', 'T3PKS', 'NRPS', 'NRPS-like']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1692.9,1477.3,0.30
BGC0001807,25.0,True,"(1680.3, 1548.4)",BGC0001807<br>NRP;Polyketide<br>totopotensamide A;totopotensamide B,MIBIG (KnownClusterBlast),1680.3,1548.4,0.30
NZ_VIWX01000002.1.region005,26.0,True,"(1276.1, 1132.5)",P5<br>NZ_VIWX01000002.1.region005<br>['siderophore']<br>ficellomycin<br>0.07,BGC,1276.1,1132.5,0.30
BGC0001593,26.0,True,"(1247.3, 1040.3)",BGC0001593<br>NRP<br>ficellomycin,MIBIG (KnownClusterBlast),1247.3,1040.3,0.30
NZ_VIWX01000002.1.region006,21.0,True,"(880.9, 1033.8)",P5<br>NZ_VIWX01000002.1.region006<br>['terpene']<br>kanamycin<br>0.01,BGC,880.9,1033.8,0.30
BGC0000703,21.0,True,"(887.02, 959.26)",BGC0000703<br>Saccharide<br>kanamycin,MIBIG (KnownClusterBlast),887.02,959.26,0.30
NZ_VIWX01000002.1.region007,10.0,True,"(1041.6, 1977.8)",P5<br>NZ_VIWX01000002.1.region007<br>['terpene']<br>hopene<br>0.38,BGC,1041.6,1977.8,0.30
NZ_VIWX01000002.1.region008,9.0,True,"(1223.2, 1988.2)",P5<br>NZ_VIWX01000002.1.region008<br>['terpene']<br>geosmin<br>1.00,BGC,1223.2,1988.2,0.30
NZ_VIWX01000004.1.region001,27.0,True,"(1764.7, 1369.7)","P5<br>NZ_VIWX01000004.1.region001<br>['RiPP-like', 'T1PKS', 'NRPS-like']<br>nystatin<br>0.74",BGC,1764.7,1369.7,0.30
BGC0001709,27.0,True,"(1773.3, 1300.4)",BGC0001709<br>Polyketide<br>nystatin,MIBIG (KnownClusterBlast),1773.3,1300.4,0.30
NZ_VIWX01000005.1.region001,1.0,True,"(1441.6, 1385.6)",P5<br>NZ_VIWX01000005.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1441.6,1385.6,0.30
BGC0002014,1.0,True,"(1488.1, 1323.1)",BGC0002014<br>NRP;Polyketide<br>pepticinnamin E,MIBIG (KnownClusterBlast),1488.1,1323.1,0.30
NZ_VIWX01000006.1.region001,28.0,True,"(2598.8, 1818.0)","P5<br>NZ_VIWX01000006.1.region001<br>['NRPS', 'T1PKS']<br>antimycin<br>0.94",BGC,2598.8,1818.0,0.30
BGC0001455,28.0,True,"(2684.5, 1863.5)",BGC0001455<br>NRP;Polyketide<br>antimycin,MIBIG (BiG-SCAPE),2684.5,1863.5,0.30
NZ_VIWX01000007.1.region001,2.0,True,"(2394.0, 603.38)",P5<br>NZ_VIWX01000007.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2394.0,603.38,0.30
NZ_JAGPXE010000001.1.region001,28.0,True,"(2629.7, 1814.1)","P5<br>NZ_JAGPXE010000001.1.region001<br>['T1PKS', 'NRPS']<br>antimycin<br>0.88",BGC,2629.7,1814.1,0.30
NZ_JAGPXE010000011.1.region003,25.0,True,"(1663.6, 1508.7)","P5<br>NZ_JAGPXE010000011.1.region003<br>['NRPS-like', 'NRPS', 'T3PKS', 'T1PKS']<br>totopotensamide A / totopotensamide B<br>0.56",BGC,1663.6,1508.7,0.30
NZ_JAGPXE010000015.1.region001,14.0,True,"(1748.6, 2497.1)",P5<br>NZ_JAGPXE010000015.1.region001<br>['redox-cofactor']<br>lankacidin C<br>0.20,BGC,1748.6,2497.1,0.30
NZ_JAGPXE010000016.1.region001,2.0,True,"(2364.1, 564.96)",P5<br>NZ_JAGPXE010000016.1.region001<br>['ectoine']<br>ectoine<br>1.00,BGC,2364.1,564.96,0.30
NZ_JAGPXE010000017.1.region001,8.0,True,"(2179.4, 2151.0)",P5<br>NZ_JAGPXE010000017.1.region001<br>['indole']<br>fortimicin<br>0.09,BGC,2179.4,2151.0,0.30
BGC0000695,8.0,True,"(2112.1, 2108.7)",BGC0000695<br>Saccharide<br>fortimicin,MIBIG (KnownClusterBlast),2112.1,2108.7,0.30
NZ_JAGPXE010000018.1.region001,20.0,True,"(1920.6, 860.76)",P5<br>NZ_JAGPXE010000018.1.region001<br>['terpene']<br>isorenieratene<br>0.57,BGC,1920.6,860.76,0.30
NZ_JAGPXE010000019.1.region001,18.0,True,"(2594.3, 2438.2)",P5<br>NZ_JAGPXE010000019.1.region001<br>['terpene']<br>atolypene A / atolypene B<br>0.18,BGC,2594.3,2438.2,0.30
BGC0002007,18.0,True,"(2626.9, 2363.6)",BGC0002007<br>Terpene<br>atolypene A;atolypene B,MIBIG (KnownClusterBlast),2626.9,2363.6,0.30
NZ_JAGPXE010000002.1.region001,29.0,True,"(828.0, 2270.4)",P5<br>NZ_JAGPXE010000002.1.region001<br>['siderophore']<br>staphylobactin<br>0.25,BGC,828.0,2270.4,0.30
BGC0000943,29.0,True,"(757.34, 2227.4)",BGC0000943<br>Other<br>staphyloferrin B,MIBIG (KnownClusterBlast),757.34,2227.4,0.30
NZ_JAGPXE010000002.1.region002,30.0,True,"(1752.8, 1296.0)",P5<br>NZ_JAGPXE010000002.1.region002<br>['lanthipeptide-class-iii']<br>fusaricidin B<br>0.25,BGC,1752.8,1296.0,0.30
BGC0001152,30.0,True,"(1700.0, 1278.2)",BGC0001152<br>NRP;Polyketide<br>fusaricidin B,MIBIG (KnownClusterBlast),1700.0,1278.2,0.30
NZ_JAGPXE010000002.1.region003,31.0,True,"(435.37, 609.43)",P5<br>NZ_JAGPXE010000002.1.region003<br>['betalactone']<br>macrotetrolide<br>0.33,BGC,435.37,609.43,0.30
BGC0000244,31.0,True,"(375.8, 569.0)",BGC0000244<br>Polyketide<br>nonactin;monactin;dinactin;trinactin;tetranactin,MIBIG (KnownClusterBlast),375.8,569.0,0.30
NZ_JAGPXE010000003.1.region003,10.0,True,"(1068.3, 1960.1)",P5<br>NZ_JAGPXE010000003.1.region003<br>['terpene']<br>hopene<br>0.38,BGC,1068.3,1960.1,0.30
NZ_JAGPXE010000003.1.region004,9.0,True,"(1191.3, 1999.5)",P5<br>NZ_JAGPXE010000003.1.region004<br>['terpene']<br>geosmin<br>1.00,BGC,1191.3,1999.5,0.30
NZ_JAGPXE010000004.1.region001,32.0,True,"(2069.3, 2716.6)",P5<br>NZ_JAGPXE010000004.1.region001<br>['arylpolyene']<br>saquayamycin A<br>0.05,BGC,2069.3,2716.6,0.30
BGC0001769,32.0,True,"(2152.6, 2755.3)",BGC0001769<br>Polyketide<br>saquayamycin A,MIBIG (KnownClusterBlast),2152.6,2755.3,0.30
NZ_JAGPXE010000004.1.region003,33.0,True,"(348.37, 232.43)",P5<br>NZ_JAGPXE010000004.1.region003<br>['lanthipeptide-class-iv']<br>venezuelin<br>0.50,BGC,348.37,232.43,0.30
BGC0000563,33.0,True,"(288.8, 192.0)",BGC0000563<br>RiPP<br>venezuelin,MIBIG (KnownClusterBlast),288.8,192.0,0.30
NZ_JAGPXE010000008.1.region001,1.0,True,"(1487.8, 1402.9)",P5<br>NZ_JAGPXE010000008.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07,BGC,1487.8,1402.9,0.30
NZ_JAGPXE010000009.1.region002,21.0,True,"(961.15, 1527.0)",P5<br>NZ_JAGPXE010000009.1.region002<br>['terpene']<br>SF2575<br>0.07,BGC,961.15,1527.0,0.30
NZ_CP069353.1.region001,34.0,True,"(1510.9, 1500.9)","P8<br>NZ_CP069353.1.region001<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07",BGC,1510.9,1500.9,0.30
BGC0001213,34.0,True,"(1547.7, 1580.2)",BGC0001213<br>Polyketide<br>nataxazole,MIBIG (KnownClusterBlast),1547.7,1580.2,0.30
NZ_CP069353.1.region002,2.0,True,"(2230.9, 645.61)",P8<br>NZ_CP069353.1.region002<br>['ectoine']<br>ectoine<br>1.00,BGC,2230.9,645.61,0.30
NZ_CP069353.1.region004,35.0,True,"(899.07, 639.83)",P8<br>NZ_CP069353.1.region004<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>1.00,BGC,899.07,639.83,0.30
BGC0000055,35.0,True,"(799.59, 666.45)",BGC0000055<br>Polyketide;Saccharide<br>erythromycin A;erythromycin B;erythromycin C;erythromycin D,MIBIG (BiG-SCAPE),799.59,666.45,0.30
NZ_CP069353.1.region005,36.0,True,"(2111.3, 1693.4)","P8<br>NZ_CP069353.1.region005<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89",BGC,2111.3,1693.4,0.30
BGC0000285,36.0,True,"(2185.1, 1711.2)","BGC0000285<br>Polyketide;Saccharide<br>flaviolin;flaviolin rhamnoside;3,3'-diflaviolin",MIBIG (KnownClusterBlast),2185.1,1711.2,0.30
NZ_CP069353.1.region006,1.0,True,"(1342.2, 1356.0)",P8<br>NZ_CP069353.1.region006<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12,BGC,1342.2,1356.0,0.30
BGC0001214,1.0,True,"(1273.4, 1272.3)",BGC0001214<br>NRP<br>marformycin A;marformycin B;marformycin C;marformycin D;marformycin E;marformycin F,MIBIG (KnownClusterBlast),1273.4,1272.3,0.30
NZ_CP069353.1.region007,8.0,True,"(2045.7, 2128.8)",P8<br>NZ_CP069353.1.region007<br>['indole']<br>fortimicin<br>0.07,BGC,2045.7,2128.8,0.30
NZ_CP069353.1.region008,21.0,True,"(1097.6, 1594.1)",P8<br>NZ_CP069353.1.region008<br>['terpene']<br>SF2575<br>0.04,BGC,1097.6,1594.1,0.30
NZ_CP069353.1.region009,37.0,True,"(597.48, 2766.1)",P8<br>NZ_CP069353.1.region009<br>['T1PKS']<br>FR-900520<br>0.18,BGC,597.48,2766.1,0.30
BGC0000994,37.0,True,"(539.01, 2715.0)",BGC0000994<br>NRP;Polyketide<br>FR-900520,MIBIG (KnownClusterBlast),539.01,2715.0,0.30
NZ_CP069353.1.region011,38.0,True,"(606.94, 1544.9)",P8<br>NZ_CP069353.1.region011<br>['T1PKS']<br>esmeraldin<br>0.08,BGC,606.94,1544.9,0.30
BGC0000935,38.0,True,"(621.41, 1473.9)",BGC0000935<br>Other;Polyketide<br>esmeraldin,MIBIG (KnownClusterBlast),621.41,1473.9,0.30
NZ_CP069353.1.region012,39.0,True,"(3132.2, 2960.1)","P8<br>NZ_CP069353.1.region012<br>['NRPS', 'T1PKS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12",BGC,3132.2,2960.1,0.30
BGC0001349,39.0,True,"(3049.2, 2978.0)",BGC0001349<br>NRP;Polyketide<br>heronamide A;heronamide B;heronamide C;heronamide D;heronamide E;heronamide F,MIBIG (KnownClusterBlast),3049.2,2978.0,0.30
NZ_CP069353.1.region013,40.0,True,"(1177.5, 2940.1)",P8<br>NZ_CP069353.1.region013<br>['NRPS']<br>amychelin<br>0.44,BGC,1177.5,2940.1,0.30
BGC0000300,40.0,True,"(1119.0, 2889.0)",BGC0000300<br>NRP<br>amychelin,MIBIG (KnownClusterBlast),1119.0,2889.0,0.30
NZ_CP069353.1.region014,41.0,True,"(1470.9, 2074.1)","P8<br>NZ_CP069353.1.region014<br>['T1PKS', 'NRPS-like']<br>microansamycin<br>0.46",BGC,1470.9,2074.1,0.30
BGC0001666,41.0,True,"(1413.1, 1976.1)",BGC0001666<br>Polyketide<br>microansamycin,MIBIG (KnownClusterBlast),1413.1,1976.1,0.30
NZ_CP069353.1.region016,42.0,True,"(1783.5, 1614.8)","P8<br>NZ_CP069353.1.region016<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00",BGC,1783.5,1614.8,0.30
BGC0000349,42.0,True,"(1799.0, 1695.9)",BGC0000349<br>NRP<br>erythrochelin,MIBIG (KnownClusterBlast),1799.0,1695.9,0.30
NZ_CP069353.1.region017,9.0,True,"(1148.8, 2158.5)",P8<br>NZ_CP069353.1.region017<br>['terpene']<br>geosmin<br>1.00,BGC,1148.8,2158.5,0.30
NZ_CP069353.1.region018,43.0,True,"(1193.3, 1555.9)",P8<br>NZ_CP069353.1.region018<br>['NAPAA']<br>actinomycin D<br>0.07,BGC,1193.3,1555.9,0.30
BGC0000296,43.0,True,"(1255.1, 1481.2)",BGC0000296<br>NRP<br>actinomycin D,MIBIG (KnownClusterBlast),1255.1,1481.2,0.30
NZ_CP069353.1.region019,20.0,True,"(1927.6, 735.65)",P8<br>NZ_CP069353.1.region019<br>['terpene']<br>isorenieratene<br>0.57,BGC,1927.6,735.65,0.30
NZ_CP069353.1.region020,12.0,True,"(2644.4, 1664.9)",P8<br>NZ_CP069353.1.region020<br>['terpene']<br>neoantimycin<br>0.20,BGC,2644.4,1664.9,0.30
